time/time_elapsed,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/loss,train/learning_rate,train/n_updates
0,182,84,0.9991133333333339,140.690246,84.0,1,,,
1,159,168,0.9982266666666666,138.5454465,84.0,2,53.543617248535156,0.0001,16
1,157,252,0.9973400000000006,131.132093,84.0,3,57.04598617553711,0.0001,37
2,165,336,0.9964533333333333,138.900804,84.0,4,46.24279022216797,0.0001,58
2,166,420,0.9955666666666672,124.3796006,84.0,5,37.323062896728516,0.0001,79
2,169,504,0.99468,131.59942266666667,84.0,6,37.64073944091797,0.0001,100
3,171,588,0.9937933333333339,127.16866514285714,84.0,7,19.491973876953125,0.0001,121
3,173,672,0.9929066666666666,126.56860175,84.0,8,21.68722152709961,0.0001,142
4,172,756,0.9920200000000005,129.4372818888889,84.0,9,18.105865478515625,0.0001,163
4,174,840,0.9911333333333332,131.103313,84.0,10,13.179248809814453,0.0001,184
5,176,924,0.9902466666666672,131.2274029090909,84.0,11,9.505002975463867,0.0001,205
5,176,1008,0.9893599999999999,132.98848316666667,84.0,12,7.828428745269775,0.0001,226
6,175,1092,0.9884733333333338,131.47400115384613,84.0,13,5.690757751464844,0.0001,247
6,175,1176,0.9875866666666666,134.25080185714285,84.0,14,10.100032806396484,0.0001,268
7,175,1260,0.9867000000000004,132.04802593333332,84.0,15,3.184494972229004,0.0001,289
7,177,1344,0.9858133333333332,132.7980804375,84.0,16,6.306541442871094,0.0001,310
8,177,1428,0.9849266666666671,132.78744182352943,84.0,17,5.6775970458984375,0.0001,331
8,176,1512,0.9840399999999998,131.54361922222222,84.0,18,6.075775146484375,0.0001,352
8,177,1596,0.9831533333333338,128.18602,84.0,19,6.123414039611816,0.0001,373
9,177,1680,0.9822666666666665,129.78201425,84.0,20,4.11862850189209,0.0001,394
9,178,1764,0.9813800000000004,129.06206128571426,84.0,21,6.74671745300293,0.0001,415
10,178,1848,0.9804933333333332,127.56844845454543,84.0,22,6.393564224243164,0.0001,436
10,178,1932,0.9796066666666671,127.35266413043475,84.0,23,4.699645042419434,0.0001,457
11,177,2016,0.9787199999999998,128.349946875,84.0,24,5.336061000823975,0.0001,478
11,176,2100,0.9778333333333337,128.95695636,84.0,25,5.611459255218506,0.0001,499
12,175,2184,0.9769466666666664,128.91599261538462,84.0,26,2.8521695137023926,0.0001,520
12,175,2268,0.9760600000000004,130.35454937037036,84.0,27,2.986323595046997,0.0001,541
13,174,2352,0.9751733333333331,131.4931735,84.0,28,3.8252689838409424,0.0001,562
13,175,2436,0.974286666666667,131.45109865517242,84.0,29,7.2409491539001465,0.0001,583
14,176,2520,0.9733999999999998,129.0530056,84.0,30,2.5028746128082275,0.0001,604
14,174,2604,0.9725133333333337,128.36325361290324,84.0,31,3.0599288940429688,0.0001,625
15,174,2688,0.9716266666666664,127.53309884375001,84.0,32,3.8193726539611816,0.0001,646
15,173,2772,0.9707400000000003,127.99125990909091,84.0,33,3.13851261138916,0.0001,667
16,173,2856,0.969853333333333,129.60730738235293,84.0,34,2.542219877243042,0.0001,688
16,173,2940,0.968966666666667,128.76325942857142,84.0,35,2.2121174335479736,0.0001,709
17,173,3024,0.9680799999999997,128.57537397222222,84.0,36,5.414725303649902,0.0001,730
18,172,3108,0.9671933333333336,128.55835478378378,84.0,37,2.3662896156311035,0.0001,751
18,171,3192,0.9663066666666664,129.3195959473684,84.0,38,4.388138771057129,0.0001,772
19,171,3276,0.9654200000000003,129.95339212820514,84.0,39,4.983833312988281,0.0001,793
19,170,3360,0.964533333333333,128.342721175,84.0,40,5.087074279785156,0.0001,814
20,170,3444,0.9636466666666669,128.08945336585367,84.0,41,1.6898845434188843,0.0001,835
20,170,3528,0.9627599999999996,128.1033455952381,84.0,42,1.6034011840820312,0.0001,856
21,171,3612,0.9618733333333336,127.70340644186045,84.0,43,1.6562461853027344,0.0001,877
21,170,3696,0.9609866666666663,127.79079638636362,84.0,44,2.0763509273529053,0.0001,898
22,170,3780,0.9601000000000002,127.84113148888888,84.0,45,4.369360446929932,0.0001,919
22,170,3864,0.959213333333333,126.75446747826086,84.0,46,1.4788625240325928,0.0001,940
23,170,3948,0.9583266666666669,125.0731190212766,84.0,47,2.319861888885498,0.0001,961
23,170,4032,0.9574399999999996,125.3919904375,84.0,48,1.9245085716247559,0.0001,982
24,170,4116,0.9565533333333335,125.72479979591837,84.0,49,1.375185489654541,0.0001,1003
24,169,4200,0.9556666666666662,126.08430546,84.0,50,1.300279140472412,0.0001,1024
25,169,4284,0.9547800000000002,126.2332598627451,84.0,51,1.1869584321975708,0.0001,1045
25,169,4368,0.9538933333333329,125.06427136538461,84.0,52,0.5500283241271973,0.0001,1066
26,169,4452,0.9530066666666668,125.41227894339623,84.0,53,4.41196346282959,0.0001,1087
26,170,4536,0.9521199999999996,125.53734666666668,84.0,54,1.069643259048462,0.0001,1108
27,170,4620,0.9512333333333335,125.90422994545456,84.0,55,1.4667556285858154,0.0001,1129
27,170,4704,0.9503466666666662,126.10196098214286,84.0,56,4.084249019622803,0.0001,1150
28,169,4788,0.9494600000000001,126.11651791228071,84.0,57,1.237257957458496,0.0001,1171
28,168,4872,0.9485733333333328,126.73969815517242,84.0,58,1.2068963050842285,0.0001,1192
