year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done,,,
2050,1.567339887,847.5948743,138.8354549,1376.418993,0.972390182,604.7615022,230.075728,13.39951888,47.50738509,50.312,14,-0.673398873,FALSE,,0.067339887,
2051,1.560175818,845.5519757,138.7334325,1377.191343,0.984099506,612.7356196,232.9710028,13.39951888,47.50738509,50.312,14,-0.601758182,FALSE,,0.060175818,
2052,1.552871692,843.543669,138.6259182,1377.840536,0.995433699,620.6921399,236.0281373,13.39951888,47.50738509,50.312,14,-0.528716922,FALSE,,0.052871692,
2053,1.545473658,841.5352987,138.5127193,1378.371274,1.006397897,628.6337678,239.1576058,13.39951888,47.50738509,50.312,14,-0.454736575,FALSE,,0.045473658,
2054,1.538017584,839.5341324,138.393565,1378.787549,1.016997924,636.487925,242.3785945,13.39951888,47.50738509,50.312,14,-0.380175845,FALSE,,0.038017584,
2055,1.530530272,837.5145979,138.2677757,1379.092916,1.027240126,644.2245279,245.6215991,13.39951888,47.50738509,50.312,14,-0.305302719,FALSE,,0.030530272,
2056,1.523030281,835.4769693,138.1348148,1379.29015,1.037131156,651.7962216,248.8850912,13.39951888,47.50738509,50.312,14,-0.230302806,FALSE,,0.023030281,
2057,1.515529439,833.4051239,137.9940792,1379.381542,1.046677844,659.1810265,252.1272879,13.39951888,47.50738509,50.312,14,-0.15529439,FALSE,,0.015529439,
2058,1.508033812,831.2963288,137.8450828,1379.368797,1.055887053,666.3610525,255.3437251,13.39951888,47.50738509,50.312,14,-0.080338122,FALSE,,0.008033812,
2059,1.500544675,829.1411911,137.6873738,1379.25323,1.064765587,673.327053,258.5133205,13.39951888,47.50738509,50.312,14,-0.005446749,FALSE,,0.000544675,
2060,1.493059353,826.9361815,137.5205716,1379.035758,1.073320099,680.0738877,261.6307125,13.39951888,47.50738509,50.312,14,-0.069406467,FALSE,,-0.006940647,
2061,1.48557238,824.6895601,137.3444299,1378.717017,1.081557024,686.6733789,264.722144,13.39951888,47.50738509,50.312,14,-0.144276199,FALSE,,-0.01442762,
