rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/loss
-6.232137,0.998898,29,29.0,113,0,1,,,
36.322686000000004,0.9956679999999999,114,57.0,191,0,2,0.0001,3,98.53335571289062
23.109212666666668,0.9945279999999999,144,48.0,186,0,3,0.0001,10,80.682373046875
15.258568750000002,0.9934639999999998,172,43.0,182,0,4,0.0001,17,76.293701171875
12.316257600000002,0.9922099999999996,205,41.0,181,1,5,0.0001,26,67.01190948486328
22.993745166666667,0.9889799999999995,290,48.333333333333336,207,1,6,0.0001,47,46.910980224609375
30.586413714285715,0.9857500000000006,375,53.57142857142857,224,1,7,0.0001,68,43.426300048828125
26.627768500000002,0.9845340000000004,407,50.875,218,1,8,0.0001,76,42.13081359863281
22.554024222222225,0.9835080000000004,434,48.22222222222222,213,2,9,0.0001,83,32.76752471923828
29.9609343,0.9802780000000003,519,51.9,225,2,10,0.0001,104,31.606000900268555
27.453993636363638,0.9789860000000001,553,50.27272727272727,223,2,11,0.0001,113,23.702260971069336
31.373636833333336,0.9757560000000001,638,53.166666666666664,230,2,12,0.0001,134,21.799495697021484
28.774821461538465,0.9745779999999999,669,51.46153846153846,227,2,13,0.0001,142,21.041446685791016
26.34750885714286,0.9734379999999998,699,49.92857142857143,224,3,14,0.0001,149,16.87044906616211
30.425735066666668,0.9702079999999997,784,52.266666666666666,230,3,15,0.0001,170,10.366943359375
28.135697874999998,0.9691059999999997,813,50.8125,227,3,16,0.0001,178,10.227049827575684
26.28821,0.9679279999999996,844,49.64705882352941,224,3,17,0.0001,185,11.934778213500977
24.553653055555557,0.9667879999999995,874,48.55555555555556,222,3,18,0.0001,193,8.052959442138672
28.175938,0.9635580000000005,959,50.473684210526315,228,4,19,0.0001,214,7.0994977951049805
26.311249049999997,0.9625320000000005,986,49.3,224,4,20,0.0001,221,4.465084075927734
29.401741666666663,0.9593020000000004,1071,51.0,228,4,21,0.0001,242,6.870677471160889
30.646353318181813,0.9560720000000004,1156,52.54545454545455,231,4,22,0.0001,263,6.42650842666626
29.15493304347826,0.9548940000000002,1187,51.608695652173914,228,5,23,0.0001,271,7.973525524139404
27.671161499999997,0.9537920000000002,1216,50.666666666666664,226,5,24,0.0001,278,6.041821002960205
30.115999679999994,0.9505620000000001,1301,52.04,228,5,25,0.0001,300,3.401602268218994
32.865329653846146,0.9473320000000001,1386,53.30769230769231,231,5,26,0.0001,321,4.9369659423828125
31.461661851851847,0.9461919999999999,1416,52.44444444444444,229,6,27,0.0001,328,2.8903183937072754
32.95913421428571,0.9429619999999999,1501,53.607142857142854,232,6,28,0.0001,350,2.3286871910095215
31.582546310344824,0.9418599999999999,1530,52.758620689655174,230,6,29,0.0001,357,3.728168487548828
33.252726599999995,0.9386299999999999,1615,53.833333333333336,232,6,30,0.0001,378,5.151588439941406
34.27614561290323,0.9353999999999998,1700,54.83870967741935,234,7,31,0.0001,399,1.99197518825531
35.90973309375,0.9321699999999997,1785,55.78125,237,7,32,0.0001,421,3.2201545238494873
37.68035269696969,0.9289399999999997,1870,56.666666666666664,238,7,33,0.0001,442,1.6154009103775024
36.30063758823529,0.9279139999999997,1897,55.794117647058826,236,8,34,0.0001,449,2.1183228492736816
35.296658599999994,0.9266600000000005,1930,55.142857142857146,234,8,35,0.0001,457,3.517822027206421
36.492165111111106,0.9234300000000004,2015,55.97222222222222,236,8,36,0.0001,478,1.7795515060424805
37.43924656756756,0.9202000000000004,2100,56.75675675675676,237,8,37,0.0001,499,2.792074680328369
36.301298789473684,0.9190980000000003,2129,56.026315789473685,235,9,38,0.0001,507,1.0776395797729492
35.234057230769224,0.9179580000000003,2159,55.35897435897436,233,9,39,0.0001,514,3.231606960296631
34.14533865,0.9168560000000002,2188,54.7,232,9,40,0.0001,521,3.089416742324829
34.27312814634146,0.913626,2273,55.4390243902439,233,9,41,0.0001,543,4.549258232116699
33.75950888095238,0.9121439999999996,2312,55.04761904761905,232,9,42,0.0001,552,2.9869513511657715
32.98688279069768,0.9108900000000005,2345,54.53488372093023,231,10,43,0.0001,561,3.1478660106658936
32.15877193181819,0.9097120000000004,2376,54.0,230,10,44,0.0001,568,4.188906669616699
31.223824800000003,0.9086480000000005,2404,53.422222222222224,229,10,45,0.0001,575,1.1453394889831543
30.471321195652173,0.9075080000000003,2434,52.91304347826087,227,10,46,0.0001,583,0.7319043278694153
31.46460521276596,0.9042780000000002,2519,53.59574468085106,229,10,47,0.0001,604,0.9673078060150146
32.48962616666667,0.9010480000000002,2604,54.25,229,11,48,0.0001,625,0.5157201290130615
31.939535326530613,0.8997179999999999,2639,53.857142857142854,228,11,49,0.0001,634,0.7513666749000549
31.11177846,0.898654,2667,53.34,227,11,50,0.0001,641,0.7684757709503174
30.483385509803924,0.8974379999999997,2699,52.92156862745098,226,11,51,0.0001,649,0.9692604541778564
29.906868499999998,0.8961839999999995,2732,52.53846153846154,225,12,52,0.0001,657,3.128260612487793
30.80121309433962,0.8929539999999995,2817,53.15094339622642,226,12,53,0.0001,679,1.2921161651611328
30.097656518518516,0.8918520000000005,2846,52.7037037037037,225,12,54,0.0001,686,0.900442361831665
29.590362181818183,0.8905600000000002,2880,52.36363636363637,224,12,55,0.0001,694,0.7062764763832092
30.534309303571426,0.8873300000000002,2965,52.94642857142857,226,13,56,0.0001,716,1.0180728435516357
29.86725738596491,0.8862280000000001,2994,52.526315789473685,224,13,57,0.0001,723,1.008643627166748
29.297526948275856,0.88505,3025,52.1551724137931,223,13,58,0.0001,731,2.481276035308838
28.655341372881352,0.883986,3053,51.74576271186441,222,13,59,0.0001,738,0.5563278198242188
28.071757049999995,0.882884,3082,51.36666666666667,221,13,60,0.0001,745,0.9808926582336426
28.243895983606553,0.8796539999999999,3167,51.91803278688525,222,14,61,0.0001,766,2.829732894897461
27.651080822580642,0.8785899999999999,3195,51.53225806451613,221,14,62,0.0001,773,0.9173378944396973
27.149912238095236,0.8774119999999997,3226,51.20634920634921,220,14,63,0.0001,781,2.5189309120178223
28.038895859374996,0.8741819999999997,3311,51.734375,221,14,64,0.0001,802,2.878741979598999
27.608686907692302,0.8729659999999996,3343,51.43076923076923,220,15,65,0.0001,810,2.478485345840454
27.089818469696965,0.8718640000000005,3372,51.09090909090909,219,15,66,0.0001,817,2.4440689086914062
26.651683940298504,0.8706860000000004,3403,50.791044776119406,218,15,67,0.0001,825,2.75294828414917
26.148664132352938,0.8696220000000003,3431,50.455882352941174,217,15,68,0.0001,832,2.641427755355835
