#{"t_start": 1744554363.510446, "env_id": "None"}
r,l,t
72.236178,85,58.226974
-3.390477,31,58.529651
-8.90376,28,58.772456
121.102638,85,59.145085
-10.736844,28,59.365969
75.877734,85,59.787427
3.2444,35,60.030747
-6.203473,29,60.266897
83.07223,70,60.649877
-1.020034,32,60.861883
-7.676026,29,61.107144
-7.550979,29,61.356665
60.187324,85,61.760077
-6.287172,30,62.002046
0.774645,32,62.270083
121.10902,85,62.698804
-9.559206,28,62.920114
-9.816368,28,63.151466
-8.740967,29,63.369749
-6.30036,30,63.646028
-2.286798,31,63.866303
53.969917,85,64.256123
60.825864,60,64.6157
-11.818181,26,64.874467
-7.800793,29,65.122258
-12.576254,26,65.385274
-6.955022,30,65.628864
-5.977656,31,65.875
-7.348195,29,66.111475
-11.204563,26,66.354734
-9.472943,28,66.580062
-10.851198,26,66.805994
-12.073606,26,67.032518
-8.694615,28,67.267845
-9.980559,28,67.505627
-5.758973,30,67.739736
3.803132,35,68.005483
-5.656291,30,68.329747
-3.01885,32,68.551346
116.978104,85,68.907559
13.616942,40,69.153736
-11.109243,27,69.385908
-9.388602,27,69.6316
-7.290129,29,69.848961
-10.128426,27,70.057348
0.52739,32,70.279046
-6.608807,30,70.509198
0.255424,31,70.753939
-1.701031,32,70.9767
-4.090228,31,71.314405
-10.738831,27,71.501702
-5.177997,31,71.688163
1.283198,34,71.904266
4.852637,36,72.102546
-0.920589,33,72.29909
82.01321,85,72.618142
-6.679048,29,72.801261
-9.42171,29,72.987483
-13.209118,25,73.167395
8.679094,37,73.371364
-12.006576,26,73.560785
-7.355317,29,73.74807
-7.509356,29,73.933381
-8.202903,29,74.122067
-8.646979,28,74.314502
-3.131498,32,74.510942
-7.559692,30,74.702522
-10.82833,26,74.935445
-12.696667,25,75.112207
-8.668079,29,75.296592
-8.940343,28,75.469972
-10.516281,27,75.648878
44.226649,85,75.964424
-12.2279,26,76.139922
-9.976523,28,76.311917
-10.208368,27,76.498728
121.349002,85,76.791934
-6.54288,29,76.97038
-4.336482,31,77.147809
-10.400812,27,77.334348
-8.843523,28,77.512363
-10.335215,28,77.693956
-7.36662,30,77.871228
95.872375,85,78.165648
-8.131938,29,78.340348
-6.69228,29,78.519799
-7.591557,29,78.707066
-2.310522,32,78.887535
69.457291,85,79.192985
-9.804383,27,79.376585
-14.074331,25,79.550015
-0.635054,33,79.747424
-11.369221,26,79.935254
-7.516733,29,80.125646
0.119846,34,80.318044
-13.433354,25,80.498995
-6.600071,30,80.68975
-11.254664,26,80.878197
-6.205814,30,81.0602
-9.421219,28,81.256929
-10.572171,27,81.451589
-8.34706,28,81.635371
-4.765558,30,81.82119
-12.280695,26,82.013224
-9.713632,27,82.2077
-8.744459,28,82.409218
-9.938236,27,82.602135
-9.553111,27,82.792782
-3.403617,32,82.995544
-4.546607,30,83.188995
-10.136019,27,83.371355
-11.311563,27,83.569087
-10.385532,27,83.764574
-8.594624,28,83.966104
-9.745825,27,84.157485
-11.808225,26,84.337344
-10.756931,26,84.528851
-9.787953,27,84.742189
-5.695329,30,84.951619
-6.168141,31,85.163672
8.45957,37,85.382163
-6.052815,31,85.590377
-8.679686,28,85.781961
-3.761303,32,85.980513
-7.163184,29,86.170589
-8.517651,28,86.367982
-4.162193,30,86.562921
14.530785,40,86.839439
-8.531263,28,87.050522
-9.931766,27,87.247903
-9.1365,28,87.443272
-10.207284,27,87.630675
-9.749135,28,87.817936
-6.321821,29,88.00052
-10.80411,27,88.19144
-3.768821,32,88.381308
-10.529909,27,88.59256
-8.551678,28,88.787334
-9.564883,28,88.987763
-10.127479,27,89.176318
1.079141,34,89.390828
