time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,train/n_updates,train/learning_rate,train/loss
60,69.66666666666667,4180,15,0.8411600000000005,-40.74839453333334,270,1019,0.0001,13.505224227905273
61,69.91803278688525,4265,15,0.8379300000000004,-33.97931526229509,270,1041,0.0001,3.8422892093658447
62,70.16129032258064,4350,16,0.8347000000000003,-30.86921606451613,270,1062,0.0001,0.9884599447250366
63,69.57142857142857,4383,16,0.8334460000000001,-31.30647815873016,269,1070,0.0001,3.883448839187622
64,69.8125,4468,16,0.8302160000000001,-33.9487449375,269,1091,0.0001,3.485328197479248
65,70.04615384615384,4553,16,0.826986,-36.56133198461539,269,1113,0.0001,7.097314834594727
66,69.45454545454545,4584,17,0.8258079999999999,-36.7885591969697,268,1120,0.0001,3.8085832595825195
67,68.91044776119404,4617,17,0.8245539999999996,-37.086838850746275,267,1129,0.0001,6.864276885986328
68,69.1470588235294,4702,17,0.8213239999999996,-38.86324472058824,267,1150,0.0001,4.226012229919434
69,68.6231884057971,4735,17,0.8200700000000004,-39.18723346376812,266,1158,0.0001,10.042585372924805
70,68.85714285714286,4820,18,0.8168400000000003,-40.97089155714286,266,1179,0.0001,10.137163162231445
71,68.33802816901408,4852,18,0.8156240000000002,-41.39055540845071,265,1187,0.0001,4.1474409103393555
72,68.56944444444444,4937,18,0.8123940000000001,-27.167097916666666,265,1209,0.0001,0.7438795566558838
73,68.04109589041096,4967,18,0.811254,-27.586264178082192,264,1216,0.0001,0.964049756526947
74,67.55405405405405,4999,18,0.8100379999999999,-28.052905013513517,263,1224,0.0001,6.799072265625
75,67.78666666666666,5084,19,0.8068079999999999,-28.30483254666667,263,1245,0.0001,3.9312937259674072
76,67.25,5111,19,0.8057819999999998,-28.69418288157895,262,1252,0.0001,3.9426259994506836
77,67.48051948051948,5196,19,0.8025519999999997,-28.880940064935068,263,1273,0.0001,4.302317142486572
78,67.02564102564102,5228,19,0.8013359999999996,-29.274500512820513,262,1281,0.0001,6.305719375610352
79,66.55696202531645,5258,20,0.8001959999999996,-29.557036518987342,261,1289,0.0001,7.309298515319824
80,66.7875,5343,20,0.7969660000000005,-31.267113950000002,261,1310,0.0001,3.8337013721466064
81,67.01234567901234,5428,20,0.7937360000000004,-27.481566901234572,261,1331,0.0001,1.090155839920044
82,67.23170731707317,5513,21,0.7905060000000004,-17.930194695121955,262,1353,0.0001,3.810288667678833
83,67.44578313253012,5598,21,0.7872760000000003,-19.642787530120483,262,1374,0.0001,10.443822860717773
84,67.6547619047619,5683,21,0.7840460000000002,-7.740036523809526,262,1395,0.0001,3.6732304096221924
85,67.85882352941177,5768,21,0.7808160000000002,-9.687655447058825,262,1416,0.0001,0.8839221000671387
86,67.4186046511628,5798,22,0.7796760000000001,-10.24397023255814,261,1424,0.0001,0.5083670020103455
87,67.62068965517241,5883,22,0.776446,-12.297546114942529,262,1445,0.0001,3.830322742462158
88,67.81818181818181,5968,22,0.773216,-4.388658522727277,262,1466,0.0001,0.9866452217102051
89,67.40449438202248,5999,22,0.7720379999999998,-5.040856202247195,261,1474,0.0001,3.5627100467681885
90,67.0,6030,23,0.7708599999999998,-5.548991211111115,260,1482,0.0001,6.8448286056518555
91,66.62637362637362,6063,23,0.7696059999999996,-6.160340813186816,260,1490,0.0001,4.026922225952148
92,66.82608695652173,6148,23,0.7663760000000005,-4.210804663043481,260,1511,0.0001,0.39419713616371155
93,67.02150537634408,6233,23,0.7631460000000004,6.40775104301075,260,1533,0.0001,3.8462395668029785
94,66.61702127659575,6262,24,0.7620440000000004,5.721868957446806,260,1540,0.0001,6.984759330749512
95,66.81052631578947,6347,24,0.7588140000000003,4.161878284210523,260,1561,0.0001,9.69735336303711
96,67.0,6432,24,0.7555840000000003,9.995630229166665,260,1582,0.0001,6.919164657592773
97,67.18556701030928,6517,24,0.7523540000000002,7.81340342268041,260,1604,0.0001,3.8330371379852295
98,67.36734693877551,6602,25,0.7491240000000001,17.724443744897957,261,1625,0.0001,6.90504264831543
99,67.54545454545455,6687,25,0.7458940000000001,25.366539767676766,261,1646,0.0001,0.5100066661834717
100,67.18,6718,25,0.7447159999999999,24.48827937,260,1654,0.0001,3.6354002952575684
101,66.64,6749,25,0.7435379999999998,25.950297,259,1662,0.0001,7.295892715454102
102,66.64,6834,26,0.7403079999999997,26.077688170000002,259,1683,0.0001,7.2033586502075195
103,66.09,6864,26,0.7391679999999997,27.139109750000003,259,1690,0.0001,10.264548301696777
104,65.54,6894,26,0.7380279999999996,27.95430307,258,1698,0.0001,0.6983145475387573
105,65.54,6979,26,0.7347979999999995,37.52521644,258,1719,0.0001,0.6741191148757935
106,66.08,7064,27,0.7315680000000006,47.965719119999996,259,1740,0.0001,3.638223171234131
107,66.02,7093,27,0.7304660000000005,48.02501545999999,258,1748,0.0001,3.648219347000122
108,65.47,7123,27,0.7293260000000004,49.52316242999999,257,1755,0.0001,7.156253337860107
109,65.47,7208,27,0.7260960000000003,59.883780349999995,257,1776,0.0001,3.900923728942871
110,65.48,7238,28,0.7249560000000003,59.811161680000005,257,1784,0.0001,7.036890983581543
111,64.9,7265,28,0.7239300000000002,57.532518370000005,256,1791,0.0001,6.5494465827941895
112,64.86,7295,28,0.7227900000000003,57.716995659999995,255,1798,0.0001,3.923462152481079
113,64.86,7380,28,0.7195600000000002,66.58375857,255,1819,0.0001,3.951200246810913
114,65.41,7465,29,0.7163300000000001,76.87237247,256,1841,0.0001,0.6379311084747314
115,65.42,7498,29,0.7150759999999998,76.81379265,255,1849,0.0001,0.5401146411895752
116,65.95,7583,29,0.7118459999999998,79.01453576,255,1870,0.0001,3.765300989151001
117,65.95,7668,29,0.7086159999999997,90.30519987,255,1891,0.0001,3.9390015602111816
118,65.4,7698,30,0.7074759999999995,91.50951724000001,255,1899,0.0001,0.5787729620933533
119,65.4,7783,30,0.7042459999999996,96.44251568,255,1920,0.0001,0.7787610292434692
120,65.4,7868,30,0.7010160000000005,101.97986233,255,1941,0.0001,0.8215060234069824
121,65.4,7953,31,0.6977860000000005,112.50990977,255,1963,0.0001,4.385178565979004
122,65.94,8038,31,0.6945560000000004,117.63187694,255,1984,0.0001,6.741386413574219
123,65.38,8067,31,0.6934540000000005,107.15115282000001,255,1991,0.0001,3.9479892253875732
124,65.38,8152,31,0.6902240000000004,95.3192805,255,2012,0.0001,3.6964128017425537
125,64.89,8188,32,0.688856,95.02159082,255,2021,0.0001,0.7451586723327637
126,65.42,8273,32,0.6856259999999998,93.85926200000002,255,2043,0.0001,3.7261452674865723
127,65.4,8301,32,0.6845619999999999,93.86416892,254,2050,0.0001,0.5419618487358093
128,64.82,8328,32,0.6835359999999999,93.72141314000001,254,2056,0.0001,3.6217002868652344
129,64.25,8356,32,0.682472,95.04319820000002,253,2063,0.0001,3.920022964477539
130,64.76,8441,33,0.6792419999999999,95.30608974000002,253,2085,0.0001,10.163966178894043
131,64.76,8526,33,0.6760119999999998,95.05279031000002,253,2106,0.0001,4.025472164154053
132,64.76,8611,33,0.6727819999999998,100.12747816000001,253,2127,0.0001,0.5664008855819702
133,64.76,8696,34,0.6695519999999997,112.07324421000001,253,2148,0.0001,0.3672564625740051
134,64.76,8781,34,0.6663219999999996,108.60622839,253,2170,0.0001,0.7073633670806885
135,64.19,8809,34,0.6652579999999996,109.69070987999997,253,2177,0.0001,10.243147850036621
136,64.19,8894,35,0.6620279999999996,109.60937571999999,253,2198,0.0001,10.202503204345703
137,64.77,8979,35,0.6587980000000005,119.8250946,253,2219,0.0001,13.575661659240723
138,65.31,9064,35,0.6555680000000004,130.19475175000002,253,2240,0.0001,6.652296543121338
139,64.77,9095,35,0.6543900000000004,131.03006239,253,2248,0.0001,0.6722908020019531
140,64.82,9128,36,0.6531360000000002,130.90587714,252,2256,0.0001,3.7757978439331055
141,64.82,9158,36,0.651996,130.81816517,252,2264,0.0001,0.9142124652862549
142,64.82,9243,36,0.648766,133.05044163,252,2285,0.0001,6.8367509841918945
143,64.82,9328,36,0.6455359999999999,144.85584955,252,2306,0.0001,3.906514883041382
144,64.82,9413,37,0.6423059999999998,154.80623334,252,2328,0.0001,6.563666343688965
145,64.31,9447,37,0.6410139999999996,156.07103661999997,252,2336,0.0001,3.793640613555908
146,64.31,9532,37,0.6377839999999995,156.331172,252,2357,0.0001,6.951704025268555
147,63.8,9566,37,0.6364920000000003,157.40856777,252,2366,0.0001,6.881484031677246
148,64.35,9651,38,0.6332620000000003,156.12085147999997,252,2387,0.0001,3.5402681827545166
149,63.8,9681,38,0.6321220000000002,157.15161894999997,251,2395,0.0001,7.054250717163086
150,63.24,9710,38,0.6310200000000001,158.04227942999995,251,2402,0.0001,9.65538215637207
151,63.24,9795,38,0.6277900000000001,157.80593445,251,2423,0.0001,7.12784481048584
152,63.24,9880,39,0.62456,162.58914448,251,2444,0.0001,0.7237256765365601
153,63.24,9965,39,0.6213299999999999,168.71956870000002,251,2466,0.0001,7.29352331161499
154,62.66,9992,39,0.620304,169.62158588999998,251,2472,0.0001,12.719425201416016
155,62.66,10077,40,0.6170739999999999,180.69624607000003,251,2494,0.0001,3.7605772018432617
156,62.66,10162,40,0.6138439999999998,180.99718423,251,2515,0.0001,0.3856678903102875
157,62.66,10247,40,0.6106139999999998,181.18251845999998,251,2536,0.0001,4.023863315582275
158,62.66,10332,41,0.6073839999999997,168.88311876999995,251,2557,0.0001,13.200111389160156
159,63.22,10417,41,0.6041539999999996,178.83508899999998,251,2579,0.0001,7.028469085693359
160,63.22,10502,41,0.6009239999999996,177.23232629999995,251,2600,0.0001,9.687224388122559
161,63.22,10587,42,0.5976939999999995,183.12929707,251,2621,0.0001,6.683117866516113
162,62.68,10618,42,0.5965160000000005,180.94170628,251,2629,0.0001,7.160693168640137
163,62.65,10648,42,0.5953760000000003,180.81844293000003,251,2636,0.0001,3.886375665664673
164,62.07,10675,42,0.5943500000000004,182.27514765,250,2643,0.0001,6.82136869430542
165,62.07,10760,42,0.5911200000000003,193.814224,250,2664,0.0001,0.983940839767456
166,62.61,10845,43,0.5878900000000002,192.74348786999997,250,2686,0.0001,3.666308641433716
167,63.13,10930,43,0.5846600000000002,191.7926863,251,2707,0.0001,3.5362579822540283
168,63.13,11015,43,0.5814300000000001,191.42573781,251,2728,0.0001,3.819854497909546
169,63.65,11100,44,0.5782,201.52363318,251,2749,0.0001,4.134706497192383
170,63.65,11185,44,0.57497,202.81640808,251,2771,0.0001,0.7554396390914917
171,64.18,11270,44,0.5717399999999999,212.97900554,251,2792,0.0001,3.879903554916382
172,64.18,11355,45,0.5685099999999998,207.50648425,251,2813,0.0001,0.7058802843093872
173,64.73,11440,45,0.5652799999999998,217.69942890999994,251,2834,0.0001,0.7712786197662354
174,65.26,11525,45,0.5620499999999997,227.92738857,251,2856,0.0001,3.780550956726074
175,65.26,11610,46,0.5588199999999997,226.11756053000002,251,2877,0.0001,7.269834518432617
176,65.84,11695,46,0.5555899999999996,224.54279427,251,2898,0.0001,6.80665397644043
177,65.27,11723,46,0.5545259999999996,224.37543594000002,251,2905,0.0001,3.6871767044067383
178,65.8,11808,46,0.5512959999999996,234.62021554000003,251,2926,0.0001,10.1289644241333
179,66.35,11893,47,0.5480660000000006,241.50555215999998,251,2948,0.0001,0.6525533199310303
180,66.35,11978,47,0.5448360000000004,246.72901662999996,251,2969,0.0001,0.5767470002174377
181,66.35,12063,47,0.5416060000000005,253.57714645,251,2990,0.0001,13.192557334899902
182,65.78,12091,48,0.5405420000000004,245.42005909999997,251,2997,0.0001,10.43749713897705
183,65.78,12176,48,0.5373120000000002,256.39707566,251,3018,0.0001,0.8511433005332947
184,65.78,12261,48,0.5340820000000003,256.25659199,251,3040,0.0001,6.884971618652344
185,65.2,12288,48,0.5330560000000003,257.3503867,251,3046,0.0001,13.286986351013184
186,65.75,12373,49,0.5298260000000002,259.1741083,251,3068,0.0001,3.649075984954834
187,65.75,12458,49,0.5265960000000002,270.61002492000006,251,3089,0.0001,3.4633233547210693
188,65.16,12484,49,0.5256080000000003,263.08869962000006,250,3095,0.0001,3.2400448322296143
189,65.7,12569,50,0.5223780000000002,261.89539169,250,3117,0.0001,0.7622664570808411
190,66.24,12654,50,0.519148,271.90301918,250,3138,0.0001,3.6558334827423096
191,66.76,12739,50,0.5159180000000001,273.01342967,250,3159,0.0001,6.634366035461426
192,66.24,12772,50,0.5146639999999998,270.35586903,250,3167,0.0001,0.5595649480819702
193,66.24,12857,51,0.5114339999999997,267.98348697,250,3189,0.0001,3.686549425125122
194,66.28,12890,51,0.5101799999999996,267.71123764,250,3197,0.0001,6.880795001983643
195,65.69,12916,51,0.5091919999999996,268.39243856999997,249,3203,0.0001,3.557042360305786
196,65.12,12944,51,0.5081279999999996,262.05593303,249,3210,0.0001,3.678680896759033
197,65.12,13029,52,0.5048979999999996,265.28508542,249,3232,0.0001,0.5197442770004272
198,65.12,13114,52,0.5016679999999996,258.83833911,249,3253,0.0001,3.4708364009857178
199,65.12,13199,52,0.4984380000000005,260.68004151,249,3274,0.0001,0.5116350650787354
200,65.11,13229,53,0.49729800000000046,260.638789,249,3282,0.0001,6.568827152252197
201,65.07,13256,53,0.4962720000000004,260.59613040999994,249,3288,0.0001,6.988736152648926
202,65.07,13341,53,0.4930420000000004,261.98986756999994,248,3310,0.0001,12.492762565612793
203,65.62,13426,53,0.48981200000000025,271.92821461999995,249,3331,0.0001,7.021265983581543
204,66.17,13511,54,0.4865820000000003,282.16764402999996,249,3352,0.0001,3.5766661167144775
205,66.17,13596,54,0.4833520000000002,272.42320137999997,249,3373,0.0001,3.9831321239471436
206,66.17,13681,54,0.48012200000000005,271.85170999999997,249,3395,0.0001,6.803552150726318
207,66.73,13766,55,0.4768920000000001,281.69438412,249,3416,0.0001,0.7244325876235962
208,67.28,13851,55,0.4736619999999999,291.70573494999996,249,3437,0.0001,4.171626567840576
209,67.28,13936,55,0.47043199999999996,281.03440876999997,249,3458,0.0001,6.732091903686523
210,67.83,14021,56,0.4672019999999999,290.90908513,249,3480,0.0001,7.078163146972656
211,68.41,14106,56,0.4639719999999997,300.18041846,249,3501,0.0001,3.820451259613037
212,68.96,14191,56,0.46074199999999976,310.04706881,249,3522,0.0001,6.715132236480713
213,68.96,14276,57,0.4575119999999996,306.7702637,249,3543,0.0001,3.7971270084381104
214,68.96,14361,57,0.45428199999999963,306.68833708,249,3565,0.0001,0.8210463523864746
215,69.48,14446,57,0.45105199999999956,305.51253015,249,3586,0.0001,10.010120391845703
216,69.48,14531,58,0.4478220000000005,301.98068251,249,3607,0.0001,0.5197757482528687
217,69.48,14616,58,0.44459200000000043,301.68485145,249,3628,0.0001,7.290250778198242
218,70.03,14701,58,0.44136200000000037,304.99617727,249,3650,0.0001,4.00897741317749
219,70.03,14786,59,0.4381320000000003,310.87825007,249,3671,0.0001,0.6271087527275085
220,70.03,14871,59,0.43490200000000023,316.31439315,249,3692,0.0001,16.187070846557617
221,70.03,14956,59,0.43167200000000017,316.40103360999996,249,3713,0.0001,4.018790245056152
222,70.03,15041,60,0.4284420000000001,320.91308861,249,3735,0.0001,6.962899684906006
223,70.59,15126,60,0.42521200000000003,319.45320637000003,249,3756,0.0001,15.80566692352295
224,70.59,15211,60,0.42198199999999997,324.53766848,250,3777,0.0001,12.925809860229492
225,70.49,15237,61,0.4209940000000001,324.60357097,249,3784,0.0001,3.795008659362793
226,70.49,15322,61,0.4177639999999999,323.98528239999996,249,3805,0.0001,1.1112720966339111
227,71.06,15407,61,0.41453399999999996,333.47728752,249,3826,0.0001,3.802354574203491
228,71.64,15492,61,0.4113039999999998,343.44728462,249,3847,0.0001,0.7937554717063904
229,71.64,15520,62,0.4102399999999998,343.31627917,249,3854,0.0001,3.7326200008392334
230,71.11,15552,62,0.4090239999999997,342.80783935,249,3862,0.0001,10.079069137573242
231,71.11,15637,62,0.40579399999999954,347.61122957999993,249,3884,0.0001,6.6277666091918945
232,71.11,15722,63,0.4025639999999996,348.25904532999994,249,3905,0.0001,9.888567924499512
233,70.62,15758,63,0.40119600000000033,337.21100973,248,3914,0.0001,3.9319846630096436
234,70.62,15843,63,0.39796600000000015,348.32351370000003,249,3935,0.0001,4.019133567810059
235,71.19,15928,63,0.3947360000000002,357.81082915,248,3956,0.0001,3.994187116622925
236,71.19,16013,64,0.391506,368.65662882000004,248,3978,0.0001,6.809805870056152
237,71.19,16098,64,0.38827600000000007,358.57563243,248,3999,0.0001,6.714580535888672
238,71.19,16183,64,0.385046,357.63206647999993,249,4020,0.0001,7.261458396911621
239,71.73,16268,65,0.3818159999999998,356.63940174999993,249,4041,0.0001,0.9830999374389648
240,72.25,16353,65,0.37858599999999987,355.83499619999986,249,4063,0.0001,3.915693998336792
241,72.8,16438,65,0.3753559999999997,354.00650192999996,249,4084,0.0001,0.5204797983169556
242,72.8,16523,66,0.37212599999999973,351.26133610999983,249,4105,0.0001,6.793185710906982
243,72.8,16608,66,0.36889599999999967,350.87648280999997,249,4126,0.0001,3.813016176223755
244,72.22,16635,66,0.3678699999999997,341.73097016999986,248,4133,0.0001,13.180408477783203
245,72.73,16720,67,0.3646399999999995,351.75076684,248,4154,0.0001,0.6679843664169312
246,72.73,16805,67,0.36140999999999945,362.8259056999999,248,4176,0.0001,6.882602691650391
247,73.24,16890,67,0.3581800000000006,372.37858745000005,248,4197,0.0001,9.926846504211426
248,73.24,16975,68,0.35495000000000043,383.29850360999995,248,4218,0.0001,3.4758851528167725
249,73.79,17060,68,0.35172000000000037,384.78700803,248,4239,0.0001,6.719255447387695
250,74.35,17145,68,0.3484900000000003,394.18476626000006,248,4261,0.0001,0.8552669286727905
251,74.35,17230,69,0.34526000000000023,405.04838421999995,248,4282,0.0001,15.70556926727295
252,73.77,17257,69,0.3442340000000004,394.6483602700001,248,4289,0.0001,6.997493267059326
253,73.77,17342,69,0.3410040000000002,390.9155127900001,248,4310,0.0001,0.5374369621276855
254,74.35,17427,70,0.33777400000000013,400.42828189,248,4331,0.0001,15.897420883178711
255,73.86,17463,70,0.33640599999999976,389.52233074,248,4340,0.0001,3.8079702854156494
256,73.86,17548,70,0.3331759999999997,399.5864135599999,248,4361,0.0001,3.8920557498931885
257,73.86,17633,70,0.32994599999999974,398.94728815,248,4383,0.0001,4.189995765686035
258,73.86,17718,71,0.3267159999999997,410.35570138,248,4404,0.0001,15.736383438110352
259,73.3,17747,71,0.3256139999999996,400.17619844000006,248,4411,0.0001,7.153884410858154
260,73.3,17832,71,0.32238399999999956,411.21483643,248,4432,0.0001,0.4497370719909668
261,73.3,17917,72,0.3191540000000005,410.42125055,248,4454,0.0001,0.9918672442436218
262,73.84,18002,72,0.3159240000000004,420.29558407,248,4475,0.0001,13.117446899414062
263,74.39,18087,72,0.31269400000000047,421.46200839000005,248,4496,0.0001,4.201486587524414
264,74.97,18172,73,0.3094640000000003,430.78455102,248,4517,0.0001,4.073798179626465
265,74.97,18257,73,0.30623400000000023,426.58174652,248,4539,0.0001,19.381641387939453
266,74.45,18290,73,0.30498000000000014,427.455418,248,4547,0.0001,3.760659694671631
267,74.45,18375,74,0.30174999999999996,438.24677653000003,248,4568,0.0001,4.061298370361328
268,74.39,18454,74,0.29874800000000024,437.57646668,248,4588,0.0001,1.1223772764205933
269,74.39,18539,74,0.29551800000000006,436.86545581000007,248,4609,0.0001,13.407453536987305
270,73.8,18565,74,0.2945300000000002,436.47420397,247,4616,0.0001,7.332696914672852
271,73.8,18650,75,0.2913,428.71081780000003,247,4637,0.0001,6.938798427581787
272,73.8,18735,75,0.28806999999999994,433.31790032,247,4658,0.0001,3.8224663734436035
273,73.23,18763,75,0.2870060000000001,422.92586463,247,4665,0.0001,3.7230732440948486
274,73.23,18848,76,0.2837759999999999,422.01816039,247,4686,0.0001,10.259926795959473
275,72.63,18873,76,0.282826,423.50990000999997,247,4693,0.0001,9.742816925048828
276,72.04,18899,76,0.28183800000000003,424.94426399,247,4699,0.0001,9.978581428527832
277,72.04,18927,76,0.2807740000000002,424.78688437000005,246,4706,0.0001,4.14024543762207
278,72.04,19012,76,0.277544,422.6770852000001,246,4727,0.0001,10.088953018188477
279,71.45,19038,77,0.27655600000000014,415.53158571,246,4734,0.0001,3.6750175952911377
280,71.45,19123,77,0.27332599999999996,420.81383078000005,246,4755,0.0001,10.283729553222656
281,71.45,19208,77,0.2700959999999999,420.12956023,246,4776,0.0001,9.737823486328125
282,72.02,19293,78,0.26686599999999994,429.09636119000004,246,4798,0.0001,3.866751194000244
283,72.02,19378,78,0.26363599999999987,428.4992135299999,246,4819,0.0001,0.6571128368377686
284,71.44,19405,78,0.2626099999999999,418.04032043,246,4826,0.0001,0.8505696654319763
285,72.02,19490,79,0.2593799999999997,427.61990604000005,246,4847,0.0001,3.9709362983703613
286,71.85,19558,79,0.25679600000000036,424.09369525999995,246,4864,0.0001,7.123778820037842
287,71.85,19643,79,0.2535660000000003,419.33464466,246,4885,0.0001,7.024045944213867
288,72.44,19728,79,0.25033600000000034,428.58385527999997,246,4906,0.0001,19.41452407836914
289,71.84,19753,80,0.24938600000000033,429.64788986,246,4913,0.0001,4.0208940505981445
290,71.84,19838,80,0.24615600000000026,428.77737378000006,246,4934,0.0001,13.127243041992188
291,71.84,19923,80,0.2429260000000002,437.06297293999995,246,4955,0.0001,6.6597795486450195
292,71.82,19954,81,0.24174800000000007,436.9588585099999,246,4963,0.0001,6.918308258056641
293,71.82,20039,81,0.238518,427.27388859,246,4984,0.0001,10.769064903259277
294,72.34,20124,81,0.23528800000000005,425.8575719,246,5005,0.0001,13.314935684204102
295,72.93,20209,82,0.23205799999999988,423.4305401,246,5027,0.0001,15.96684455871582
296,72.96,20240,82,0.23087999999999986,423.11823345000005,246,5034,0.0001,3.826702117919922
297,72.96,20325,82,0.22764999999999969,419.26328762,246,5056,0.0001,13.14582633972168
298,72.37,20351,82,0.2266619999999998,415.05764686000003,246,5062,0.0001,7.182127952575684
