rollout/exploration_rate,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/loss,train/learning_rate,train/n_updates
0.9991133333333339,136,0,84,84.0,82.859,1,,,
0.9982266666666666,133,1,168,84.0,81.773963,2,56.426876068115234,0.0001,16
0.9973400000000006,135,1,252,84.0,89.34189633333334,3,47.06458282470703,0.0001,37
0.9964533333333333,138,2,336,84.0,91.54810825,4,47.72464370727539,0.0001,58
0.9955666666666672,141,2,420,84.0,87.4427036,5,38.154502868652344,0.0001,79
0.99468,143,3,504,84.0,87.58863566666668,6,25.42253303527832,0.0001,100
0.9937933333333339,147,3,588,84.0,86.67109485714286,7,17.77330207824707,0.0001,121
0.9929066666666666,148,4,672,84.0,81.52861487499999,8,19.996816635131836,0.0001,142
0.9920200000000005,147,5,756,84.0,84.11576844444443,9,12.499251365661621,0.0001,163
0.9911333333333332,147,5,840,84.0,83.50693859999998,10,7.756313800811768,0.0001,184
0.9902466666666672,149,6,924,84.0,81.44036127272726,11,8.067721366882324,0.0001,205
0.9893599999999999,150,6,1008,84.0,81.65921275,12,9.512105941772461,0.0001,226
0.9884733333333338,151,7,1092,84.0,77.81495730769231,13,7.983257293701172,0.0001,247
0.9875866666666666,152,7,1176,84.0,78.52515621428572,14,7.795003414154053,0.0001,268
0.9867000000000004,152,8,1260,84.0,80.06646866666667,15,5.168880462646484,0.0001,289
0.9858133333333332,152,8,1344,84.0,79.29073187499999,16,5.739760398864746,0.0001,310
0.9849266666666671,152,9,1428,84.0,77.10250411764706,17,2.9966750144958496,0.0001,331
0.9840399999999998,151,10,1512,84.0,75.80942922222222,18,4.400608062744141,0.0001,352
0.9831533333333338,152,10,1596,84.0,75.83694257894736,19,6.283247947692871,0.0001,373
0.9822666666666665,151,11,1680,84.0,75.64109529999999,20,3.022968292236328,0.0001,394
0.9813800000000004,151,11,1764,84.0,75.21058642857142,21,6.034292221069336,0.0001,415
0.9804933333333332,153,12,1848,84.0,76.63976545454544,22,5.352291107177734,0.0001,436
0.9796066666666671,154,12,1932,84.0,75.93604969565216,23,2.756483554840088,0.0001,457
0.9787199999999998,154,13,2016,84.0,75.64622158333333,24,4.674957752227783,0.0001,478
0.9778333333333337,154,13,2100,84.0,75.178062,25,5.437580108642578,0.0001,499
0.9769466666666664,154,14,2184,84.0,75.66932823076924,26,2.7111597061157227,0.0001,520
0.9760600000000004,154,14,2268,84.0,75.78522337037037,27,2.923323154449463,0.0001,541
0.9751733333333331,152,15,2352,84.0,76.849198,28,2.198557138442993,0.0001,562
0.974286666666667,150,16,2436,84.0,76.55827041379311,29,6.6520209312438965,0.0001,583
0.9733999999999998,149,16,2520,84.0,76.83697016666669,30,3.0431649684906006,0.0001,604
0.9725133333333337,148,17,2604,84.0,76.7447541935484,31,1.958522081375122,0.0001,625
0.9716266666666664,148,18,2688,84.0,77.24540878125,32,1.6426997184753418,0.0001,646
0.9707400000000003,149,18,2772,84.0,77.10317193939395,33,1.9072813987731934,0.0001,667
0.969853333333333,148,19,2856,84.0,77.35489976470589,34,2.4117608070373535,0.0001,688
0.968966666666667,148,19,2940,84.0,77.94746811428571,35,1.8183237314224243,0.0001,709
0.9680799999999997,148,20,3024,84.0,78.55916633333334,36,4.5331573486328125,0.0001,730
0.9671933333333336,147,21,3108,84.0,79.16116162162163,37,1.5028185844421387,0.0001,751
0.9663066666666664,147,21,3192,84.0,79.81789992105264,38,3.8979954719543457,0.0001,772
0.9654200000000003,148,22,3276,84.0,78.70037458974359,39,3.820984363555908,0.0001,793
0.964533333333333,148,22,3360,84.0,78.611930175,40,4.025791645050049,0.0001,814
0.9636466666666669,148,23,3444,84.0,78.80974802439025,41,1.4591989517211914,0.0001,835
0.9627599999999996,148,23,3528,84.0,79.52099397619047,42,1.0008162260055542,0.0001,856
0.9618733333333336,148,24,3612,84.0,79.22427930232558,43,1.270391821861267,0.0001,877
0.9609866666666663,148,24,3696,84.0,79.09679452272727,44,1.580007791519165,0.0001,898
0.9601000000000002,149,25,3780,84.0,79.35392504444444,45,3.73016357421875,0.0001,919
0.959213333333333,149,25,3864,84.0,79.24553726086955,46,1.4767897129058838,0.0001,940
0.9583266666666669,149,26,3948,84.0,79.2374214468085,47,1.3667922019958496,0.0001,961
0.9574399999999996,149,26,4032,84.0,79.86437704166667,48,1.0384509563446045,0.0001,982
0.9565533333333335,149,27,4116,84.0,79.99798308163267,49,1.3388655185699463,0.0001,1003
0.9556666666666662,149,28,4200,84.0,80.35721428000001,50,1.5866079330444336,0.0001,1024
0.9547800000000002,149,28,4284,84.0,80.13759498039217,51,1.0213245153427124,0.0001,1045
0.9538933333333329,148,29,4368,84.0,80.07728430769231,52,0.7649945020675659,0.0001,1066
0.9530066666666668,146,30,4452,84.0,80.3254303207547,53,3.5531089305877686,0.0001,1087
0.9521199999999996,146,31,4536,84.0,79.99164559259259,54,0.8364786505699158,0.0001,1108
0.9512333333333335,145,31,4620,84.0,79.91551483636363,55,1.034956932067871,0.0001,1129
0.9503466666666662,145,32,4704,84.0,80.24501919642856,56,3.421598434448242,0.0001,1150
0.9494600000000001,144,33,4788,84.0,80.29976235087719,57,1.0381438732147217,0.0001,1171
0.9485733333333328,144,33,4872,84.0,79.78257922413792,58,1.2425239086151123,0.0001,1192
0.9476866666666668,143,34,4956,84.0,80.05676981355931,59,1.1644198894500732,0.0001,1213
0.9467999999999995,143,35,5040,84.0,80.19778369999999,60,0.9880250692367554,0.0001,1234
0.9459133333333334,143,35,5124,84.0,79.86889627868851,61,0.7438250780105591,0.0001,1255
0.9450266666666662,142,36,5208,84.0,78.80088593548386,62,3.331453561782837,0.0001,1276
0.9441400000000001,142,37,5292,84.0,78.69292269841269,63,1.3538711071014404,0.0001,1297
0.9432533333333328,141,38,5376,84.0,78.7190631875,64,1.0947611331939697,0.0001,1318
0.9423666666666667,140,38,5460,84.0,78.95493330769231,65,6.259365558624268,0.0001,1339
0.9414799999999994,140,39,5544,84.0,78.94919907575759,66,0.9023049473762512,0.0001,1360
0.9405933333333334,139,40,5628,84.0,79.42586964179105,67,0.8827518224716187,0.0001,1381
0.9397066666666672,139,40,5712,84.0,79.4479350882353,68,0.7676945924758911,0.0001,1402
0.93882,138,41,5796,84.0,79.9539763768116,69,0.8717259168624878,0.0001,1423
0.9379333333333338,138,42,5880,84.0,79.87415592857143,70,3.2466201782226562,0.0001,1444
0.9370466666666666,137,43,5964,84.0,80.35481866197183,71,0.4921061396598816,0.0001,1465
0.9361600000000005,137,44,6048,84.0,80.54516090277778,72,0.9738104343414307,0.0001,1486
0.9352733333333333,137,44,6132,84.0,80.5157035890411,73,0.6955862045288086,0.0001,1507
0.9343866666666671,136,45,6216,84.0,80.56046727027028,74,3.4399681091308594,0.0001,1528
0.9335,136,46,6300,84.0,80.58166248,75,3.402174711227417,0.0001,1549
0.9326133333333338,136,46,6384,84.0,80.63900432894737,76,3.7666282653808594,0.0001,1570
0.9317266666666666,136,47,6468,84.0,80.77863831168831,77,3.0913617610931396,0.0001,1591
0.9308400000000004,135,48,6552,84.0,80.47322553846153,78,0.6363805532455444,0.0001,1612
0.9299533333333332,135,48,6636,84.0,80.14047144303797,79,0.560430645942688,0.0001,1633
0.9290666666666672,135,49,6720,84.0,80.4763678875,80,0.6607545614242554,0.0001,1654
0.9281799999999999,135,50,6804,84.0,80.40084150617284,81,3.356900930404663,0.0001,1675
0.9272933333333337,134,51,6888,84.0,80.21934970731708,82,3.186206817626953,0.0001,1696
0.9264066666666666,134,51,6972,84.0,80.5045756746988,83,3.2152557373046875,0.0001,1717
0.9255200000000005,134,52,7056,84.0,80.69939083333334,84,0.34561461210250854,0.0001,1738
0.9246333333333332,134,53,7140,84.0,80.80846234117648,85,0.5005042552947998,0.0001,1759
0.923746666666667,134,53,7224,84.0,81.04226489534885,86,0.8268005847930908,0.0001,1780
0.9228599999999998,133,54,7308,84.0,80.81716044827587,87,0.6807395219802856,0.0001,1801
0.9219733333333338,133,55,7392,84.0,81.04080198863636,88,0.4370347559452057,0.0001,1822
0.9210866666666665,133,55,7476,84.0,80.98643062921349,89,0.5207188129425049,0.0001,1843
0.9202000000000004,133,56,7560,84.0,81.29970128888888,90,0.8725296258926392,0.0001,1864
0.9193133333333332,133,57,7644,84.0,81.24929064835166,91,0.5421813726425171,0.0001,1885
0.9184266666666671,133,58,7728,84.0,81.48037211956523,92,0.587293267250061,0.0001,1906
0.9175399999999998,132,58,7812,84.0,81.72386256989249,93,0.6304641962051392,0.0001,1927
0.9166533333333337,132,59,7896,84.0,81.84007774468087,94,0.5063011646270752,0.0001,1948
0.9157666666666665,131,60,7980,84.0,81.65984453684212,95,3.567218780517578,0.0001,1969
0.9148800000000004,131,61,8064,84.0,81.48418866666667,96,3.293160915374756,0.0001,1990
0.9139933333333331,131,61,8148,84.0,81.63577181443299,97,0.8282555341720581,0.0001,2011
0.913106666666667,131,62,8232,84.0,81.48310275510204,98,0.5175948143005371,0.0001,2032
0.9122199999999998,131,63,8316,84.0,81.1469945858586,99,0.761857271194458,0.0001,2053
0.9113333333333337,131,63,8400,84.0,81.06218537000001,100,3.1949422359466553,0.0001,2074
0.9104466666666664,131,64,8484,84.0,80.90001636,101,0.5138987898826599,0.0001,2095
0.9095600000000003,131,65,8568,84.0,80.92362817,102,3.1542794704437256,0.0001,2116
0.9086733333333331,130,66,8652,84.0,80.71159186,103,3.2338101863861084,0.0001,2137
0.907786666666667,130,66,8736,84.0,80.98040454999999,104,0.46982258558273315,0.0001,2158
0.9068999999999997,130,67,8820,84.0,81.01004106999999,105,3.325354814529419,0.0001,2179
0.9060133333333336,130,68,8904,84.0,80.87235874,106,3.7111639976501465,0.0001,2200
0.9051266666666664,130,68,8988,84.0,80.90720248999999,107,0.4620099365711212,0.0001,2221
0.9042400000000003,130,69,9072,84.0,81.40145494999999,108,0.5777179002761841,0.0001,2242
0.903353333333333,130,70,9156,84.0,81.32364154999999,109,0.42004305124282837,0.0001,2263
0.9024666666666669,129,71,9240,84.0,81.21295122000001,110,0.7056818008422852,0.0001,2284
0.9015799999999997,129,71,9324,84.0,81.12114945,111,0.4344371557235718,0.0001,2305
0.9006933333333336,129,72,9408,84.0,80.77626404,112,0.3332659900188446,0.0001,2326
0.8998066666666663,129,73,9492,84.0,81.07748104000001,113,0.5818746089935303,0.0001,2347
0.8989200000000002,129,74,9576,84.0,80.91618801,114,0.5592576265335083,0.0001,2368
0.898033333333333,129,74,9660,84.0,80.60432100999999,115,0.5620878338813782,0.0001,2389
0.8971466666666669,129,75,9744,84.0,80.80559851,116,0.6554688215255737,0.0001,2410
0.8962599999999996,129,76,9828,84.0,81.28788802000001,117,5.750109672546387,0.0001,2431
0.8953733333333335,128,76,9912,84.0,81.53938355,118,0.6071893572807312,0.0001,2452
0.8944866666666663,128,77,9996,84.0,80.96372182,119,0.25006765127182007,0.0001,2473
0.8936000000000002,128,78,10080,84.0,81.17185512,120,1.4263087511062622,0.0001,2494
0.8927133333333329,128,79,10164,84.0,81.35330377,121,1.282801628112793,0.0001,2515
0.8918266666666668,128,79,10248,84.0,81.14621631000001,122,5.694053649902344,0.0001,2536
0.8909399999999996,128,80,10332,84.0,81.24924842000001,123,5.426090717315674,0.0001,2557
0.8900533333333335,128,81,10416,84.0,81.46784104,124,0.7874250411987305,0.0001,2578
0.8891666666666662,128,81,10500,84.0,81.68964888000001,125,2.945675849914551,0.0001,2599
0.8882800000000001,128,82,10584,84.0,81.62743805999999,126,0.6604210138320923,0.0001,2620
0.8873933333333329,127,83,10668,84.0,81.72702028000002,127,0.5636630058288574,0.0001,2641
0.8865066666666668,127,84,10752,84.0,81.545261,128,0.552679181098938,0.0001,2662
0.8856199999999995,127,84,10836,84.0,80.99961382000001,129,0.6096761226654053,0.0001,2683
0.8847333333333334,127,85,10920,84.0,81.18280679,130,0.3609907925128937,0.0001,2704
0.8838466666666662,127,86,11004,84.0,81.17981562000001,131,0.31270167231559753,0.0001,2725
0.8829600000000001,127,86,11088,84.0,81.22889051,132,0.44214463233947754,0.0001,2746
0.8820733333333328,127,87,11172,84.0,81.31192124,133,0.3328816294670105,0.0001,2767
0.8811866666666667,127,88,11256,84.0,80.75070570000001,134,0.33736497163772583,0.0001,2788
0.8803000000000005,127,89,11340,84.0,80.54159792000002,135,2.701852560043335,0.0001,2809
0.8794133333333334,127,89,11424,84.0,80.35159858000002,136,0.25130006670951843,0.0001,2830
0.8785266666666672,126,90,11508,84.0,80.17585893000002,137,2.798797607421875,0.0001,2851
0.87764,126,91,11592,84.0,79.7186959,138,0.45271050930023193,0.0001,2872
0.8767533333333338,126,91,11676,84.0,79.82792919,139,0.43082550168037415,0.0001,2893
0.8758666666666667,126,92,11760,84.0,79.46403952,140,2.6899774074554443,0.0001,2914
0.8749800000000005,126,93,11844,84.0,79.5781362,141,0.4100269079208374,0.0001,2935
0.8740933333333333,126,94,11928,84.0,79.54673806,142,2.7582600116729736,0.0001,2956
0.8732066666666671,126,94,12012,84.0,79.66445999000001,143,0.6257732510566711,0.0001,2977
0.87232,126,95,12096,84.0,79.63035420000001,144,0.35157302021980286,0.0001,2998
0.8714333333333338,126,96,12180,84.0,79.51542483,145,0.47021082043647766,0.0001,3019
0.8705466666666666,126,97,12264,84.0,79.28767817,146,0.5164610743522644,0.0001,3040
0.8696600000000004,125,98,12348,84.0,79.35551007,147,0.39732837677001953,0.0001,3061
0.8687733333333332,125,98,12432,84.0,79.09307199,148,0.5009499788284302,0.0001,3082
0.8678866666666671,125,99,12516,84.0,79.01130945999999,149,2.8986217975616455,0.0001,3103
0.8669999999999999,125,100,12600,84.0,79.0170596,150,0.3893273174762726,0.0001,3124
0.8661133333333337,125,100,12684,84.0,79.07207457,151,0.2814115881919861,0.0001,3145
0.8652266666666666,125,101,12768,84.0,78.91800595999999,152,0.35032570362091064,0.0001,3166
0.8643400000000004,125,102,12852,84.0,78.82897618999999,153,0.46281686425209045,0.0001,3187
0.8634533333333332,125,102,12936,84.0,78.76444835,154,2.9214653968811035,0.0001,3208
0.862566666666667,125,103,13020,84.0,78.73319749,155,5.225917339324951,0.0001,3229
0.8616799999999998,125,104,13104,84.0,78.64060029,156,0.41906729340553284,0.0001,3250
0.8607933333333337,125,105,13188,84.0,78.15809987,157,0.403173565864563,0.0001,3271
0.8599066666666665,125,105,13272,84.0,78.23112203999999,158,0.5995082855224609,0.0001,3292
0.8590200000000003,125,106,13356,84.0,77.72673870999999,159,0.5541011691093445,0.0001,3313
0.8581333333333332,125,107,13440,84.0,77.63064353,160,0.3129156827926636,0.0001,3334
