time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/learning_rate,train/loss
114,31.0,0.9988219999999999,0,-6.656696,31,1,,,
137,29.0,0.9977959999999999,0,-9.498846499999999,58,2,,,
180,47.666666666666664,0.9945659999999998,0,26.910059333333333,143,3,10,0.0001,84.79977416992188
207,57.0,0.9913359999999998,1,36.265205249999994,228,4,31,0.0001,71.2637710571289
203,51.8,0.9901579999999996,1,27.917298399999993,259,5,39,0.0001,57.367889404296875
198,48.333333333333336,0.9889799999999995,1,22.453705833333327,290,6,47,0.0001,78.85868072509766
195,45.857142857142854,0.9878020000000005,1,18.403906285714278,321,7,55,0.0001,66.42901611328125
191,43.625,0.9867380000000004,1,14.817218375,349,8,62,0.0001,56.29998779296875
205,48.22222222222222,0.9835080000000004,2,22.58457211111111,434,9,83,0.0001,24.229434967041016
203,46.5,0.9823300000000003,2,19.8345983,465,10,91,0.0001,29.103267669677734
201,45.0,0.9811900000000002,2,17.395619363636364,495,11,98,0.0001,40.539791107177734
199,43.75,0.9800500000000001,2,15.348481333333332,525,12,106,0.0001,47.26255798339844
198,42.84615384615385,0.978834,2,13.945628,557,13,114,0.0001,34.85417938232422
207,45.857142857142854,0.9756039999999999,3,16.818733642857143,642,14,135,0.0001,26.357486724853516
215,48.46666666666667,0.9723739999999998,3,22.223607666666666,727,15,156,0.0001,17.477678298950195
222,50.75,0.9691439999999998,3,27.561477437500002,812,16,177,0.0001,19.41962432861328
228,52.76470588235294,0.9659139999999997,3,30.89021841176471,897,17,199,0.0001,12.07382583618164
225,51.5,0.9647739999999996,4,28.761438000000005,927,18,206,0.0001,10.55211067199707
223,50.421052631578945,0.9635960000000006,4,27.00435752631579,958,19,214,0.0001,13.4274263381958
221,49.4,0.9624560000000004,4,25.273037900000002,988,20,221,0.0001,6.160472869873047
226,51.095238095238095,0.9592260000000004,4,27.52124366666667,1073,21,243,0.0001,3.995357036590576
231,52.63636363636363,0.9559960000000003,5,29.784487181818182,1158,22,264,0.0001,11.868810653686523
234,54.04347826086956,0.9527660000000002,5,31.968757086956522,1243,23,285,0.0001,6.178495407104492
231,52.916666666666664,0.9517400000000003,5,30.099616208333334,1270,24,292,0.0001,5.6963958740234375
230,52.04,0.9505620000000001,5,28.67260728,1301,25,300,0.0001,10.061467170715332
233,53.30769230769231,0.9473320000000001,5,29.818091230769234,1386,26,321,0.0001,1.8729149103164673
236,54.48148148148148,0.944102,6,30.91891318518519,1471,27,342,0.0001,11.910497665405273
234,53.57142857142857,0.943,6,29.473336178571433,1500,28,349,0.0001,2.1595630645751953
237,54.6551724137931,0.9397699999999999,6,31.916939758620696,1585,29,371,0.0001,1.1897876262664795
239,55.666666666666664,0.9365399999999998,6,33.68911903333334,1670,30,392,0.0001,2.76229190826416
242,56.61290322580645,0.9333099999999998,7,34.962089387096775,1755,31,413,0.0001,1.924034833908081
243,57.5,0.9300799999999997,7,36.757615656249996,1840,32,434,0.0001,1.9293792247772217
245,58.333333333333336,0.9268499999999996,7,37.46130221212121,1925,33,456,0.0001,1.7086713314056396
243,57.55882352941177,0.9256340000000005,8,36.219253,1957,34,464,0.0001,5.221348762512207
245,58.34285714285714,0.9224040000000004,8,37.243024857142856,2042,35,485,0.0001,2.1322593688964844
246,59.083333333333336,0.9191740000000004,8,38.58480408333333,2127,36,506,0.0001,2.768444776535034
245,58.32432432432432,0.9179960000000003,8,37.384896729729725,2158,37,514,0.0001,1.3127118349075317
246,59.026315789473685,0.9147660000000002,9,38.71773810526315,2243,38,535,0.0001,2.098761796951294
244,58.256410256410255,0.9136640000000001,9,37.43574215384615,2272,39,542,0.0001,2.3361217975616455
245,58.925,0.9104340000000001,9,38.06810565,2357,40,564,0.0001,1.5178391933441162
244,58.292682926829265,0.9091799999999999,9,37.12882665853659,2390,41,572,0.0001,5.868090629577637
242,57.61904761904762,0.9080399999999998,9,36.07492245238095,2420,42,579,0.0001,1.8898097276687622
243,58.25581395348837,0.9048099999999997,10,37.50340872093023,2505,43,601,0.0001,2.052886962890625
244,58.86363636363637,0.9015799999999997,10,38.66242781818182,2590,44,622,0.0001,5.2598090171813965
242,58.266666666666666,0.9003639999999995,10,37.67746673333333,2622,45,630,0.0001,5.3617682456970215
