year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,1.0297846315776158,916.7870987234106,135.29068117542104,1201.1233797439793,0.3053441392944457,4.2217334592173525,74.32453580170109,13.39951888220142,47.50738509341707,50.312000000000005,0,-4.702153684223842,False
2018,1.079126133927115,916.6336894583201,134.66636337909,1211.0908129481074,0.3201854528474774,16.716772393802486,86.24719002752718,13.39951888220142,47.50738509341707,50.312000000000005,0,-4.20873866072885,False
2019,1.1276039752817892,915.9360748336729,134.83938479626875,1220.2954956124652,0.3357014469128854,29.214138869092764,98.07011570903704,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.7239602471821076,False
2020,1.1751881067211813,915.0100588215566,135.19783321264518,1229.0739284104545,0.3518612319820941,41.669859075066405,109.72579588213245,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.2481189327881865,False
2021,1.2219976735047342,914.1474102677427,135.59327914596776,1237.5174239976682,0.36863541352964896,54.102887606962135,121.21936559581637,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.780023264952658,False
2022,1.265251261388538,913.3696195330422,135.99189120869664,1245.65949729808,0.3859684725693385,66.46511665646382,132.69127125943442,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.3474873861146195,False
2023,1.3051862908632135,912.6739891952868,136.38468319950437,1253.5188626861222,0.4037813193501399,78.65929783369832,144.0882813209778,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.9481370913678653,False
2024,1.342027490856398,912.0795786415431,136.7697117216574,1261.1097668340685,0.4220009991191156,90.71908447153764,155.4047296428294,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.5797250914360195,False
2025,1.3759803123776553,911.5050453950951,137.14515619082206,1268.4446956542909,0.4405603001279265,102.34476283706815,166.47502358244864,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.2401968762234472,False
2026,1.4072293799633324,910.9811498342392,137.50967181704527,1275.5337563579612,0.4593971544219477,113.63790885358334,177.311651914972,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.9277062003666758,False
2027,1.4359440768235214,910.4236461871933,137.86170537960095,1282.3859218341347,0.47845427268883023,124.72846033708619,187.71717526795703,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.6405592317647857,False
2028,1.462275746579548,909.8665244243322,138.20015438942826,1289.0081136481601,0.49767862035638505,136.9996362183088,197.72145887658124,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.3772425342045205,False
2029,1.486358831424461,909.2066434399362,138.52267120994978,1295.4062353406289,0.517021103498743,150.54080581110503,207.1220321048128,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.13641168575539098,False
2030,1.5083073371843196,908.4614494210987,138.82694141288962,1301.5836011526524,0.5364359978394233,165.28455371808286,215.94005894959872,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.08307337184319641,False
2031,1.5282236457196012,907.634144995125,139.11119707367789,1307.5422016102937,0.5558806506947258,181.12416652938774,224.1587885856756,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.2822364571960123,False
2032,1.546221238246858,906.7300002969413,139.37840626960127,1313.2843384765313,0.5753153580456463,198.28463041161663,231.87075720048017,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.4622123824685809,False
2033,1.5624052293977666,905.7867856207484,139.62922070748604,1318.8132147360047,0.594703367691979,216.596277098025,239.1765817231507,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.624052293977666,False
2034,1.576870075799567,904.7207511223903,139.86265129367345,1324.1321067096933,0.614010679751212,235.95193923232358,246.38784593203502,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.7687007579956706,False
2035,1.589689288108646,903.5227306211018,140.0759013464608,1329.242373715375,0.6332055961272918,256.1263282940222,253.4720967414906,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.8968928810864596,False
2036,1.6009227155300316,902.1303195924731,140.2662790462518,1334.1436841912455,0.6522583949362443,276.89079979929534,260.29245511227833,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.0092271553003163,False
2037,1.6106149648004926,900.5296369020213,140.43099149776836,1338.8336447624959,0.6711409471424795,297.95426503310966,266.72891716150866,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.106149648004926,False
2038,1.6188022894790295,898.6903903193098,140.56795382855327,1343.3085085901457,0.6898264876717042,319.01263908756,272.631754998685,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.1880228947902949,False
2039,1.6255137314157664,896.608745222603,140.6755801308034,1347.5634523853407,0.7082894153906134,339.74658869872405,277.866593188844,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.2551373141576638,False
2040,1.630775871781628,894.2822262234987,140.75307809695806,1351.593227389826,0.7265051858678087,359.8474006300113,282.2939673753791,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3077587178162808,False
2041,1.6346152003373466,891.7622856662201,140.80044763071572,1355.3926070685418,0.7444502559083525,379.1568776009121,285.9076338047738,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3461520033734664,False
2042,1.6371459071712913,889.475495783008,140.83611374237188,1358.9619233261255,0.7621027211333625,398.952921542534,289.8593734766717,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3714590717129127,False
2043,1.638470954900897,887.1468552191766,140.86117883192688,1362.310771878832,0.779443652658883,418.11206151215055,293.39766529294366,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.384709549008969,False
2044,1.6386552814529398,884.7491416313729,140.87208289511605,1365.4455142423963,0.7964560094448215,436.5938494190636,296.4717583480978,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3865528145293982,False
2045,1.6377572793320754,882.3301707331785,140.8679597237786,1368.3704740396008,0.8131242782090812,454.23374081538645,299.1494378568456,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3775727933207538,False
2046,1.6358326960753982,879.823141644983,140.84851846146358,1371.0898369148738,0.8294344341847729,470.9930698832083,301.27717659886537,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3583269607539816,False
2047,1.6329308098041393,877.2973160152155,140.81398872968467,1373.6068976303798,0.8453737010740856,486.8357343042495,303.01775812168086,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.329308098041393,False
2048,1.629105114485463,874.728836517823,140.76554696873472,1375.9257124204266,0.8609306247924982,501.72826153111623,304.30887750408584,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.2910511448546291,False
2049,1.6244052884488307,872.1461346468888,140.70393808967083,1378.050435506821,0.8760949718844075,515.6756306344788,305.23133848845464,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.244052884488307,False
