year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,1.1642261150691635,810.1543421038814,128.87777672754976,1214.6835098393447,0.3228659087338046,113.25446440140232,103.3329014481002,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.357738849308365,False
2018,1.1720710307859334,813.3091047748226,127.75966286329978,1219.2000516266044,0.3396026803346373,122.75177332049464,114.50856551423199,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.2792896921406656,False
2019,1.1833302325525767,815.5851971244961,127.73973288317109,1223.1132232434668,0.35619824089135815,131.8839086420774,125.47227704749196,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.1666976744742326,False
2020,1.1975166961434192,817.3142540378493,127.98543295531056,1226.8609730078306,0.3727179212180103,140.41991083765157,136.06831667182897,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.0248330385658084,False
2021,1.2143504627921,818.9306892499499,128.28892702640212,1230.5460371194824,0.3892181257293448,148.87271468162461,146.40786732332242,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.856495372079,False
2022,1.2307240332649865,820.5123259561475,128.6048332308322,1234.1925596767896,0.4057203206002271,157.94659877100955,156.73473366749673,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.6927596673501353,False
2023,1.246576373134226,822.0213856115487,128.9198422439196,1237.806248682832,0.42221476013430953,167.64944789703281,166.97173350181265,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.534236268657739,False
2024,1.261854858659986,823.4625573619211,129.22978908037695,1241.3869718332219,0.438690742104601,177.97640339859848,177.11040255399172,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.3814514134001397,False
2025,1.2765172736334534,824.8277330204222,129.53327425908262,1244.932994457409,0.4551368487168567,188.88635755412434,187.11953845060248,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.2348272636654665,False
2026,1.2905192941201202,826.087104491866,129.82765234813272,1248.4414493657475,0.4715410515464239,200.30935370549665,196.92079742299856,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.0948070587987977,False
2027,1.3038098827135451,827.1043071185554,130.1089926035257,1251.9077082788567,0.48789064870307425,212.32817445602385,206.25221512224533,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.9619011728645486,False
2028,1.3163393012768714,828.009667946758,130.37581927079128,1255.3246043642491,0.5041720704705531,224.7914341604358,215.29454334662896,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.8366069872312862,False
2029,1.3280679648910152,828.6691581232534,130.62645087403342,1258.6856767616468,0.5203712630051421,237.7044545489373,223.7710474489379,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.719320351089848,False
2030,1.3389526969182712,829.1543658573636,130.85930480355088,1261.9827652090637,0.5364735299269714,250.9405553498438,231.76186061586972,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.6104730308172877,False
2031,1.3489589653116143,829.426928772874,131.0732727607601,1265.2080370273272,0.5524637618678603,264.47422109887395,239.1719721000274,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.510410346883857,False
2032,1.35808951036159,829.6830961066395,131.27438393344542,1268.3550246112184,0.5683267010278517,278.3845557553016,246.46897719698512,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4191048963841002,False
2033,1.3663558907161117,829.7780111817086,131.4635324768672,1271.4214102590322,0.5840477130811812,292.6931594214432,253.3937167248898,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3364410928388826,False
2034,1.37376113439766,829.8045328907257,131.64027715749506,1274.4039293690255,0.5996124819125612,307.2293533003625,260.0963903004659,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.262388656023401,False
2035,1.3803085297568243,829.6478989951624,131.80307651635528,1277.2998130048768,0.6150071437549097,321.9397467548543,266.3440578841981,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.1969147024317572,False
2036,1.3859922735450192,829.3633438235695,131.9503297397043,1280.1045742699475,0.6302179931698166,336.67651979323887,272.21308534837743,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.140077264549808,False
2037,1.3908072531387297,828.877965502667,132.0805037897693,1282.8136246371143,0.6452315568717722,351.34537472879117,277.5332845643397,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.0919274686127034,False
2038,1.394743470064697,828.2272608012994,132.1923367832647,1285.421209101595,0.6600344191871479,365.8131107692677,282.34264289052817,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.05256529935303,False
2039,1.3977930173710056,827.3715894248879,132.28485488069364,1287.9216203998176,0.6746132949664748,379.9698627325588,286.52766399711396,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.0220698262899441,False
2040,1.3999469186865905,826.3343918767323,132.35737490829865,1290.3086666327517,0.6889549596905762,393.7020491652631,290.1073754113845,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.000530813134095,False
2041,1.4012016136972882,825.1852979746901,132.41011974178815,1292.5764774346778,0.7030463294102023,407.10118214325365,293.30106307037175,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.9879838630271176,False
2042,1.4016608295127613,824.3461408993114,132.4632573212965,1294.725559667867,0.7168753400727707,420.99435253215574,297.47513613153575,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.9833917048723873,False
2043,1.4013937613417295,823.3957979729914,132.513460685116,1296.765085213934,0.730432369959416,434.7140817937983,301.42379486034446,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.9860623865827045,False
2044,1.4004230257493595,822.4064922433217,132.55560587347014,1298.6979292470517,0.7437085944638182,448.412137425184,305.45786192771004,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.9957697425064049,False
2045,1.398787976567907,821.4480107378918,132.5912340414449,1300.5261280327343,0.7566960175992395,461.84674777984657,309.5907882346313,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.0121202343209301,False
2046,1.396509433275837,820.3518019858956,132.61692595592066,1302.2518366873846,0.769387498454322,474.9971916726258,313.4862455185439,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.0349056672416301,False
2047,1.393600958644031,819.2296228404692,132.6321500255435,1303.874459579337,0.7817762393228095,487.8348022621583,317.38318055309617,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.06399041355969,False
2048,1.3900795125875192,818.0048822818299,132.63643430000172,1305.3940945936265,0.793855960510225,500.31571693444675,321.11869595534773,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.0992048741248084,False
2049,1.3859559695757886,816.7171416339788,132.62935572549847,1306.809932955603,0.8056207398912515,512.4139236058388,324.77242563037487,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.140440304242114,False
2050,1.3812425405631021,815.3401657587417,132.61072770493405,1308.1213748987147,0.817065029820575,524.0980651892601,328.2862143927192,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.1875745943689786,False
2051,1.375949109982725,813.8912292905029,132.58039792740576,1309.3275323624355,0.828183584983493,535.3652558613389,331.7042821810961,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.2405089001727498,False
2052,1.3705063248099842,812.3946668663135,132.5394707939034,1310.427936586813,0.8389756969865642,546.3003743676168,335.1475752155735,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.2949367519001576,False
2053,1.364940440183353,810.8357715705713,132.48837938374626,1311.4228223676598,0.8494451431333798,556.8933344534578,338.5770730170657,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3505955981664708,False
2054,1.3592707241312367,809.219758711802,132.42708828177066,1312.3124094803638,0.8595960662799398,567.1376639946516,341.9914621951109,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4072927586876327,False
2055,1.353511658582499,807.5396005770984,132.35548915699115,1313.0969111664106,0.8694328676351222,577.0241520510268,345.3642605393975,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.464883414175009,False
2056,1.3476726882114767,805.7956866893846,132.27340994723048,1313.7763909851199,0.8789600930277202,586.5488337183906,348.685701547524,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.5232731178852332,False
2057,1.34175959102941,803.9853500931874,132.18073194527952,1314.350828699975,0.8881823484369616,595.7068174143312,351.93831087013444,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.5824040897059,False
2058,1.3357748796437163,802.1087438024615,132.07736467412295,1314.8201244728034,0.897104231942549,604.4963870790496,355.11169847791035,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.6422512035628367,False
2059,1.329718584588236,800.1655329202529,131.96327372737704,1315.1841491402035,0.9057302749757272,612.9173306382095,358.1957356843497,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.70281415411764,False
2060,1.3235886278604683,798.1564859456388,131.83846061727886,1315.4427677526396,0.914064896825329,620.9716347704234,361.18401896331994,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.7641137213953173,False
2061,1.3173817484988664,796.0845017433884,131.70296849380614,1315.595871500171,0.9221123742014029,628.6662082928119,364.076293772709,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.8261825150113364,False
2062,1.3111096025024218,794.0358910785366,131.5599807831746,1315.644214233756,0.9298769353335725,636.2393249441776,367.13780354450125,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.8889039749757819,False
2063,1.3048747135071073,792.036754963344,131.41278792988726,1315.5910112212066,0.93736391653492,643.6100485239484,370.3318387710724,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.9512528649289274,False
2064,1.2987141996031109,790.0146497263328,131.2605291228121,1315.4403089128018,0.9445799525716256,650.7470164696069,373.5023959737653,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.0128580039688915,False
2065,1.29262518282454,788.0066946170989,131.1031197652209,1315.195022262784,0.9515318370787655,657.6607798896879,376.71120979023027,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.073748171754599,False
2066,1.2866026327379465,785.9760002554477,130.94003926640326,1314.8580395995868,0.9582261885828761,664.3295422863057,379.8704646022622,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.133973672620535,False
2067,1.280637990194411,783.9360318759825,130.7710232770468,1314.4315344378879,0.9646693285293746,670.7584124080107,382.9991108008264,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.1936200980558906,False
2068,1.274721509925911,781.8706084755169,130.595779497378,1313.9175049814912,0.9708672886022427,676.936387337501,386.05409645440074,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.2527849007408896,False
2069,1.2688412636021693,779.7827651935394,130.41408771579023,1313.3175446420353,0.9768257562260166,682.8655219670641,389.03573163907714,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.311587363978307,False
2070,1.2629850713412623,777.6660089607224,130.22578770387406,1312.6330670857503,0.9825500717035894,688.5421581610539,391.92446726192026,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.3701492865873774,False
2071,1.2571398350305876,775.5229509913825,130.03076051415974,1311.8652624731587,0.9880452150208533,693.9734713153175,394.72410649147196,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.4286016496941243,False
2072,1.2512991861048006,773.3842352493074,129.8301901655746,1311.0155345280878,0.993315855277323,699.218163008668,397.5138329507575,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.487008138951994,False
2073,1.2455051536570192,771.2337499233273,129.62456657181812,1310.0859488663348,0.9983669679350239,704.2687910127153,400.25832564002326,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.544948463429808,False
2074,1.2399294894621053,769.0782918892628,129.41386835068337,1309.0784457012653,1.0032055474788004,709.1354603008812,402.971934824722,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.6007051053789465,False
2075,1.2345534351357808,766.9867421426468,129.20067745793696,1307.9955551954024,1.0078398910556248,714.1224729420627,406.03802400776414,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.6544656486421925,False
2076,1.229373500979496,764.9671408387035,128.98771407985947,1306.8417288075952,1.0122779672315907,719.1125450592338,409.33527680957997,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.7062649902050406,False
2077,1.2243744949994997,762.9591893931178,128.77364450980394,1305.6216877487748,1.0165274120727985,724.1838899829912,412.83103020859016,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.756255050005003,False
2078,1.219544926228412,761.0107984537998,128.55921645036943,1304.339173347063,1.0205954122370426,729.2169157345712,416.48077358757536,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.8045507377158807,False
2079,1.2148641019128277,759.040034665363,128.3424591224517,1302.9977984535133,1.02448874298888,734.2956154064763,420.22334332261454,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.8513589808717232,False
2080,1.2103153855589697,757.1113025316023,128.12409280934716,1301.5998805277686,1.028213609375569,739.3280175159683,424.07540329664636,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.8968461444103033,False
2081,1.205877167757422,755.157286744138,127.90270482055358,1300.147951856615,1.0317757815104025,744.3524683803939,427.95875083580626,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.9412283224257796,False
2082,1.2015298573211501,753.2165537862098,127.67856510461299,1298.6434990591754,1.0351804558627373,749.3685951239731,431.946465019311,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.9847014267884986,False
2083,1.1972526393380332,751.252983631546,127.4509580579596,1297.088112469181,1.038432352473279,754.3748988226837,435.9736477164605,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.0274736066196684,False
2084,1.1930232276248325,749.2738033118349,127.21948568371572,1295.4826789824833,1.0415356606128636,759.3482642934694,440.0298365794376,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.069767723751675,False
