year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,0.8354063063611956,819.1416119092281,130.01713187483895,1231.6104649977708,0.5082797663123081,-39.42820426226503,11.167374535993742,13.39951888220142,47.50738509341707,50.312000000000005,0,-6.645936936388043,False
2018,0.8763005209390515,826.8328547424062,129.36110075695004,1235.9205768868774,0.5151647444894015,-26.996801915516794,23.586149065542635,13.39951888220142,47.50738509341707,50.312000000000005,0,-6.236994790609485,False
2019,0.9191553351906522,833.2572622772896,129.69956962605693,1239.9119284349315,0.5227435645788324,-14.52060526076711,36.00812805707502,13.39951888220142,47.50738509341707,50.312000000000005,0,-5.808446648093478,False
2020,0.9635083217933226,839.0073694652477,130.26883727868366,1243.960340189455,0.5310363507884688,-1.7837704114169308,48.51058716482809,13.39951888220142,47.50738509341707,50.312000000000005,0,-5.364916782066774,False
2021,1.0091308275050945,844.2893250059864,130.88127259645773,1248.13955223131,0.5400562040490854,11.023075305147781,61.01285065124355,13.39951888220142,47.50738509341707,50.312000000000005,0,-4.908691724949055,False
2022,1.0529412717347786,849.2976721258884,131.49446015100492,1252.4514049931345,0.5497827214585592,24.206344820260835,73.8125067333089,13.39951888220142,47.50738509341707,50.312000000000005,0,-4.470587282652215,False
2023,1.094912233560129,853.9713268132803,132.09589949782247,1256.88271117276,0.5601657902196393,37.63904670387662,86.8072712420824,13.39951888220142,47.50738509341707,50.312000000000005,0,-4.050877664398711,False
2024,1.1350178421706227,858.2819725704791,132.680048816773,1261.4153863607264,0.5711557399326846,51.16707560559602,99.90718479442847,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.6498215782937726,False
2025,1.1732412605509543,862.2505921371487,133.24462334427477,1266.0299017464665,0.5827034296969349,64.7262780141128,113.06216398962071,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.2675873944904565,False
2026,1.2095732511500108,865.8614234069373,133.787971928479,1270.7069699375427,0.5947604614771236,78.17074263509849,126.17835198766916,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.904267488499892,False
2027,1.2440096818109239,869.1178363457518,134.30859811093623,1275.4274548088079,0.6072792535410901,91.38588037126054,139.1749865240147,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.5599031818907614,False
2028,1.2765515658049953,872.0134666860266,134.80518675497856,1280.1726292553747,0.6202131391809002,104.21995718933695,151.95173602020466,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.234484341950047,False
2029,1.3072053365220613,874.5586889269331,135.27682582567812,1284.9242162996995,0.6335164449485462,116.55777701737384,164.42417371661753,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.9279466347793872,False
2030,1.335983283467212,876.7581792283045,135.72290289802078,1289.664711843323,0.6471445909044328,128.2672555809948,176.49633834346383,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.6401671653278793,False
2031,1.3629044323144843,878.6612668248778,136.14343680807588,1294.377482576836,0.6610541773129701,139.5097036048577,188.1497443937455,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3709556768551567,False
2032,1.3880300876996625,880.4425253487289,136.54588515119363,1299.0492847243984,0.6752033842138313,151.49295017804002,199.6356219193186,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.1196991230033748,False
2033,1.4114224662333976,881.9623040971842,136.93091823335203,1303.671669995246,0.6895526096659044,164.70596487323192,210.68475851132425,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.8857753376660238,False
2034,1.4331310197905578,883.30046155841,137.2976461634517,1308.2354460146466,0.7040640286800595,179.0431020821394,221.4199264879568,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.6686898020944221,False
2035,1.4531990283268579,884.3503248666352,137.64368814222632,1312.731824211596,0.7187015816964849,194.5564216403314,231.61843708120148,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.4680097167314212,False
2036,1.4716585302387315,885.210383191543,137.96712397594402,1317.1502729415367,0.7334305735363438,211.04562066124805,241.4040802735654,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.283414697612685,False
2037,1.4885352385803146,885.6056248701607,138.2645566783548,1321.4805458031162,0.7482177132219985,228.64538408578167,250.23293135177892,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.11464761419685443,False
2038,1.5038299840699934,885.7564205951779,138.53220060517282,1325.708538448446,0.7630304197685603,247.05366305063,258.4607438171572,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.03829984069993353,False
2039,1.5175620139102972,885.5150801468783,138.7699100516669,1329.8217299087305,0.7778371263223308,266.1740399862585,265.76749076488977,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.17562013910297214,False
2040,1.529735416919352,884.9512669838443,138.9755080840519,1333.806470952385,0.792607018079783,285.74537293547684,272.4477238981773,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.29735416919352,False
2041,1.540360742684469,884.0757822443113,139.14850307357406,1337.6497121894804,0.8073100829590214,305.6267219209743,278.76655583626706,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.40360742684468986,False
2042,1.549533887380975,883.315361501315,139.30638018491507,1341.3437261596532,0.8219177115396546,326.38679708864754,285.3061127317056,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.4953388738097497,False
2043,1.557336956423243,882.3545601405656,139.4486739626792,1344.889918793907,0.8364040359823336,347.3831751651457,291.5883084268306,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.573369564232431,False
2044,1.563812368495749,881.2179320117476,139.57099778475282,1348.2858114976748,0.8507447448221889,368.39780784880605,297.5722349594384,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.6381236849574901,False
2045,1.5689990531096576,879.9433407931191,139.67176487969002,1351.527398828449,0.864916828092164,389.10943436486315,303.2071069315547,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.6899905310965759,False
2046,1.5729293838739056,878.336806222495,139.7489311592345,1354.6104604196146,0.8788984983413419,409.4544807288536,308.1916540285333,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.7292938387390557,False
2047,1.5756210782838243,876.6149858136087,139.80116404845103,1357.528303733438,0.8926687411988397,429.21907826812503,312.7662311445935,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.7562107828382425,False
2048,1.5771134277237835,874.6550446851313,139.8305545486888,1360.276614898264,0.9062076584877148,448.27293711832533,316.6781317770779,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.7711342772378349,False
2049,1.5774341080676222,872.5714829382789,139.83700182686337,1362.8509129094457,0.9194963198290543,466.4872742692168,320.07204309143214,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.7743410806762219,False
2050,1.5766230289522762,870.2970438183705,139.82222790577467,1365.2483828986872,0.932516897959527,483.7999209232581,322.78447379349495,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.7662302895227624,False
2051,1.5747160880833375,867.9492426823285,139.78722040017442,1367.4665551122714,0.9452526157308536,500.14634927289535,325.0235276505409,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.7471608808333752,False
2052,1.5721790933712074,865.5081256928123,139.73481198384746,1369.5051215085878,0.957692105454676,515.5916291827979,326.76583701968224,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.7217909337120743,False
2053,1.5690699326339852,863.0068651183378,139.66642510793642,1371.3648795495621,0.9698293255133237,530.1326429170496,328.0829085443118,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.690699326339852,False
2054,1.5654446028189706,860.4507891452209,139.58345764516378,1373.0476463851205,0.981659483897319,543.7675563702999,328.98418130342276,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.6544460281897058,False
2055,1.561354481874678,857.8565868842392,139.48698224714357,1374.5558898726374,0.9931789669480481,556.5171738029408,329.5185220879386,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.6135448187467807,False
2056,1.5568471862184996,855.2064476454509,139.37789465663315,1375.8926438885005,1.0043851861657067,568.5151411397471,329.69896386659804,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.568471862184996,False
