year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,0.9703393980814837,807.6435592672697,129.82833971770287,1205.4465178089217,0.41356234797495905,113.95871919537478,100.7225369036811,13.39951888220142,47.50738509341707,50.312000000000005,0,-5.2966060191851625,False
2018,0.9945219446029102,811.29883453159,127.5649764557386,1210.754251083667,0.4248284404308714,124.24026117560523,112.22454288673453,13.39951888220142,47.50738509341707,50.312000000000005,0,-5.054780553970898,False
2019,1.0207954830981143,813.5488123966379,127.24780508371386,1214.9835721313455,0.4363720834556474,133.94900124753076,123.4319315516108,13.39951888220142,47.50738509341707,50.312000000000005,0,-4.7920451690188575,False
2020,1.0487084470549153,815.2784210319455,127.4174243651614,1218.9163268041586,0.4482241845253169,143.31164018116158,134.46798538428607,13.39951888220142,47.50738509341707,50.312000000000005,0,-4.512915529450847,False
2021,1.0780739525222383,816.7754686230799,127.70138797075052,1222.746505086285,0.46040906813376375,152.10566236277174,145.1843086780909,13.39951888220142,47.50738509341707,50.312000000000005,0,-4.2192604747776175,False
2022,1.105879411491481,818.2895272684179,128.01267117093698,1226.5210498654967,0.4729184225783438,160.78435273788284,155.99250904940612,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.9412058850851905,False
2023,1.1321690811842045,819.7567923756942,128.32870681785573,1230.25320340031,0.4857154092650231,169.22533758509735,166.76311457679563,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.6783091881579555,False
2024,1.1569799747747616,821.1717490214085,128.6418285643446,1233.9459129591983,0.49876469753349534,177.90167871571316,177.44576399845096,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.4302002522523845,False
2025,1.1803429098395768,822.4746725929174,128.94798885686694,1237.5985210253882,0.5120323586940242,187.2569026019098,187.91612856737473,13.39951888220142,47.50738509341707,50.312000000000005,0,-3.196570901604232,False
2026,1.2022925124443966,823.7211219094871,129.2466639154543,1241.2085009445586,0.5254857005402443,197.1646937779032,198.2443229389876,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.977074875556034,False
2027,1.222852656627098,824.8134496272426,129.5344985041459,1244.7728886666214,0.5390933750699061,207.6375537381776,208.23547623328017,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.771473433729019,False
2028,1.242035496936778,825.6966122117407,129.80828506051054,1248.2863444079792,0.5528249535728683,218.71413542923574,217.75561194035913,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.5796450306322205,False
2029,1.2598527584371584,826.4391583091536,130.06676687853687,1251.7420005144447,0.5666507917954887,230.26850403612815,226.88148502692508,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.401472415628416,False
2030,1.2763175343710091,826.94740009651,130.3083076449671,1255.1332372637614,0.5805421683841757,242.30599153865683,235.40008335910235,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.2368246562899086,False
2031,1.2914377831649988,827.2993288471434,130.53166199282745,1258.4521537393668,0.5944710485764315,254.72951243533174,243.42511197565514,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.085622168350012,False
2032,1.305260215620321,827.6135589183885,130.74271570267084,1261.6931448791438,0.6084104733854658,267.6551799665193,251.26684747662543,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.9473978437967898,False
2033,1.3178334917231083,827.7920321246237,130.94237325722523,1264.8540035550407,0.6223350713122245,281.09796590100956,258.7499411197164,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.8216650827689174,False
2034,1.3291956049450844,827.8913898396934,131.13003900061327,1267.9319331498311,0.6362207560247404,294.90661932649635,265.96555699311057,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.7080439505491563,False
2035,1.3393802533573638,827.8221661274738,131.30413663737005,1270.924236513986,0.650044703628214,309.0337742677872,272.7294981550042,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.6061974664263623,False
2036,1.3484098797874313,827.6168310468012,131.46290261630884,1273.8266617220233,0.6637850305212895,323.3389767704044,279.0785775323468,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.5159012021256868,False
2037,1.3563034258508981,827.2139430644053,131.60461681629124,1276.6345445297982,0.6774207458117781,337.73361301174293,284.8665875771332,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4369657414910186,False
2038,1.3630729506813737,826.6377298134342,131.72785797557572,1279.3420630989367,0.6909315343418405,352.0809392851049,290.10994433303046,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3692704931862631,False
2039,1.3687294639309207,825.8519334852554,131.83145362133047,1281.9432482197917,0.7042977445224202,366.26954958463193,294.70237812891355,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3127053606907935,False
2040,1.3732809372535204,824.8743246987539,131.91456316876335,1284.4315935482705,0.7175002723005076,380.1748806074478,298.6498888737144,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.267190627464796,False
2041,1.3767388540119352,823.7791381200107,131.9772952058053,1286.8007975730575,0.7305205815913824,393.8649629385097,302.17237906769407,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.2326114598806481,False
2042,1.379221707074626,822.9854151013116,132.03989400383,1289.0510010395756,0.7433415595901874,408.0477739868493,306.5728263733934,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.20778292925374,False
2043,1.3808103318428377,822.0604242945482,132.09869502313987,1291.1909383511813,0.7559488964086701,422.1494176564766,310.68063231969643,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.1918966815716225,False
2044,1.381539682784846,821.1058316572273,132.14892788171164,1293.2229752302576,0.7683294139931663,436.2585412776873,314.8420025657872,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.1846031721515393,False
2045,1.3814596771532162,820.15400050714,132.19181472394848,1295.1489322209297,0.7804710835574917,450.1670753503166,319.02831656293375,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.1854032284678384,False
2046,1.3806023603260924,819.0988955151882,132.22453208060503,1296.970459696556,0.7923629823082402,463.77772645715146,322.97867807958585,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.193976396739076,False
2047,1.3789885489054288,817.9404194627461,132.24541689020367,1298.6870043149167,0.8039948745839538,477.13329375797684,326.7689103196393,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.2101145109457123,False
2048,1.376642175791702,816.7346377002289,132.25490067007917,1300.2975683589143,0.8153571381062653,490.16052121464844,330.4932901784415,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.23357824208298,False
2049,1.3735860007399452,815.4247817078583,132.25256935309852,1301.8017430126308,0.8264408731911702,502.81177204541183,334.02978618904024,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.264139992600548,False
2050,1.3698373105739825,814.0395064695749,132.2380487735119,1303.198433361159,0.8372376973991212,515.0586215697206,337.4388498143687,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.301626894260175,False
2051,1.3654141816474352,812.5663252611837,132.21127967276522,1304.4867236856915,0.8477397696669802,526.8828564672876,340.7030276606293,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3458581835256478,False
2052,1.3607527502264567,811.0458972405946,132.17331704112743,1305.665879583691,0.8579439417490592,538.3633274206256,343.9783744959336,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.392472497735433,False
2053,1.3558859518832456,809.4559612727447,132.12465812890522,1306.7360285622865,0.8678517351724117,549.4840972114458,347.2122368907987,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4411404811675443,False
2054,1.3508383353698652,807.8066078640366,132.06528013082348,1307.6972472659231,0.8774651952401413,560.2372055264836,350.41594851969813,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.491616646301348,False
2055,1.345629863086939,806.0891546719994,131.9951256072586,1308.5496730503576,0.8867867757000237,570.6107030871561,353.561462918997,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.54370136913061,False
2056,1.3402749791670108,804.3058178409576,131.9140562242478,1309.2933081791753,0.8958192154802186,580.5999819523099,356.64522633275635,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.5972502083298923,False
2057,1.3347842764183675,802.4539337220622,131.82200142287294,1309.9281136612876,0.904565449887918,590.1991226816656,359.651504209576,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.652157235816325,False
2058,1.329164977000889,800.5345646882826,131.718911975696,1310.4539955678817,0.9130285263275154,599.4061641271213,362.5734416470992,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.708350229991109,False
2059,1.3234214248990168,798.547773729138,131.60479903626884,1310.8708637326395,0.92121155204966,608.2207891697003,365.40319183004624,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.7657857510098318,False
2060,1.317555797497797,796.4949130507367,131.47970579607482,1311.1786480669844,0.9291176343680566,616.6452927927623,368.13691730161503,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.8244420250220306,False
2061,1.3115687343191125,794.3799276426458,131.34371742230584,1311.3773277256373,0.9367498434877654,624.6880241894152,370.77786320474394,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.8843126568088753,False
2062,1.3054757782593682,792.2888339742673,131.20008027136282,1311.4677791889726,0.944111303556361,632.5819039051042,373.59164992022227,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.9452422174063178,False
2063,1.2993834421954535,790.2482868314985,131.05211850778096,1311.453356245176,0.9512063419111416,640.2503368249976,376.544645649475,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.0061655780454646,False
2064,1.2933320075474937,788.1865623993651,130.89898706011445,1311.3382538638184,0.958040682175837,647.6632295974327,379.48218109077925,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.0666799245250633,False
2065,1.2873219031254053,786.1398141998825,130.7406246406564,1311.1255446238547,0.964620284366255,654.8325699180289,382.46522382165887,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.126780968745947,False
2066,1.281351175083666,784.0725765706204,130.5765352695576,1310.8182695454257,0.9709510124802615,661.7388264505516,385.40945425386775,13.39951888220142,47.50738509341707,50.312000000000005,0,-2.186488249163341,False
