year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done
2017,1.4582605747387496,899.9020349830294,131.9285997936931,1214.3625319955047,0.5534184550221101,110.48804636298246,25.710533715793378,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.41739425261250407,False
2018,1.473533857364664,898.8434142940954,133.26350534232827,1221.9804256617738,0.571489227517921,121.53280524052903,38.04645123524034,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.2646614263533609,False
2019,1.4905462361834454,897.8630731754178,133.89809968988203,1229.6972650398718,0.5895220793381175,133.4920756753743,50.21502841553511,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.09453763816554606,False
2020,1.5091434254160254,896.8281960005604,134.3262496087678,1237.2376765242936,0.6075507269043109,146.30910347152775,62.28061678697227,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.09143425416025419,False
2021,1.5292547938883674,895.8286325381066,134.6881473758323,1244.5313382349307,0.6256058631179636,160.06318697802996,74.1216527730184,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.2925479388836738,False
2022,1.5479080033668637,894.9458443196966,135.02687413611505,1251.5674160879203,0.6436869727719979,174.9395311803993,86.02030097814047,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.4790800336686374,False
2023,1.5651592766575253,894.0998533934682,135.3521820483241,1258.3520516899673,0.6617652741902721,190.84523837678682,97.85720268296213,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.651592766575253,False
2024,1.5810455964267314,893.206048631163,135.66310097667122,1264.8931926546777,0.6798134793539576,207.72301510502015,109.4667608977857,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.8104559642673137,False
2025,1.5955966551535152,892.2659764286823,135.9580587659915,1271.196874840297,0.697805450293569,225.38492667661603,120.81889051153526,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.9559665515351523,False
2026,1.6088368279936065,891.2779882929232,136.23516336020174,1277.267699985392,0.7157161260901367,243.5507527380212,131.86573604322177,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.088368279936065,False
2027,1.6207800306191422,890.035621820459,136.49078191521463,1283.108704613533,0.7335213796099306,262.159994958146,142.15821329336828,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.2078003061914222,False
2028,1.6314278778757645,888.7221528905071,136.72275491194034,1288.7191781258775,0.7511975546327948,280.84803775535994,151.9572357839519,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3142787787576449,False
2029,1.6407977288972446,887.1991410151122,136.93113181523944,1294.099403615236,0.7687217972144824,299.3953002886231,160.90752264367902,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4079772889724462,False
2030,1.6488964640876356,885.5429057706722,137.1146380428924,1299.248126341372,0.7860718463010276,317.50042392326935,169.0686668819382,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4889646408763557,False
2031,1.655740258765342,883.7191563615979,137.27354452080178,1304.1645064478362,0.8032261663089876,334.95326600594944,176.28470126860174,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.5574025876534203,False
2032,1.6613723169838186,881.8990221565948,137.4136781829959,1308.8490734069385,0.8201641297562772,352.3061717540344,183.09205893790633,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.613723169838186,False
2033,1.665856228471987,880.1064304450989,137.53983733848705,1313.3066483666903,0.8368666540094676,369.21891538420385,189.5155093842447,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.658562284719871,False
2034,1.6692421818704732,878.2242690895403,137.6509576061957,1317.5432788271178,0.8533162320419703,385.57751573231997,195.28303806651516,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.6924218187047324,False
2035,1.6715701247159032,876.3293807097983,137.7463932606771,1321.5630864046113,0.8694964994847195,401.1605694183436,200.55230794268718,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.7157012471590316,False
2036,1.6728791652429926,874.3186294614102,137.82536753882263,1325.3702784367022,0.8853922812927447,415.88111451974146,205.06818024957008,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.7287916524299263,False
2037,1.6731990704976294,872.2617180836081,137.88718714586827,1328.9674684725578,0.9009893012705671,429.65074349077406,209.01143132242484,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.731990704976294,False
2038,1.6725643168088924,870.1201144600392,137.9322512839695,1332.357600571653,0.9162742572847253,442.38416026912927,212.27787814570766,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.725643168088924,False
2039,1.6710048383785134,867.9147839434911,137.96050710291786,1335.5432152117946,0.9312347169908266,454.0458367062478,214.93520659988354,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.7100483837851344,False
2040,1.668552135948104,865.6412784301987,137.97241709149844,1338.5269780533,0.9458591148032702,464.61028332325014,216.98266900867804,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.6855213594810392,False
2041,1.665237059131005,863.3303858526544,137.96845471940438,1341.3116059632182,0.9601367223488287,474.18643242755195,218.5606502943917,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.6523705913100506,False
2042,1.6611746020237899,861.4481297561973,137.9664800312147,1343.9046044041763,0.9740582312568893,485.25504301371194,221.86683440508656,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.6117460202378986,False
2043,1.656473915840216,859.6227370274029,137.96801324605389,1346.3227896114602,0.987617190069564,496.28928714355044,225.3930653871962,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.5647391584021597,False
2044,1.6511857478979897,857.8741366919223,137.96708836342992,1348.5777478328862,1.0008086426837322,506.86153937558464,229.00538511015233,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.5118574789798966,False
2045,1.6453463128012322,856.0837628386519,137.95966452160968,1350.677776037552,1.0136286613139305,517.171384208183,232.52400329281073,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.4534631280123222,False
2046,1.6389876423518976,854.3567686672494,137.94561103097516,1352.6283172965516,1.0260739493868145,527.1563988659176,236.19160495369653,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3898764235189764,False
2047,1.6321395390686992,852.5973930652291,137.92399465825923,1354.4351052822553,1.038141997147742,536.7887647301947,239.77358080036367,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.3213953906869924,False
2048,1.6248246642878381,850.855625803893,137.8945482896387,1356.1023495470554,1.0498307843259924,546.0576254562706,243.38948808754216,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.2482466428783812,False
2049,1.6170647951264019,849.0882974851226,137.8569123551006,1357.634257539831,1.061138818409237,554.9402661255423,246.9314348222607,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.1706479512640189,False
2050,1.6088773500515954,847.3145249697851,137.81091741072055,1359.034254146216,1.0720649835083556,563.4411294008784,250.44727763495843,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.0887735005159538,False
2051,1.6002791141690824,845.5206562841234,137.7564987926987,1360.3056543956047,1.0826085639870051,571.5736684365548,253.91427229219983,13.39951888220142,47.50738509341707,50.312000000000005,0,-1.0027911416908242,False
2052,1.591703791840593,843.7405213791767,137.69460557345312,1361.4516511198822,1.0927733493420089,579.4969846157953,257.4918368278919,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.9170379184059296,False
2053,1.5831801181559444,841.9454567210915,137.62552599577128,1362.4759176497253,1.102567597669848,587.1967236631169,261.1037630632288,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.8318011815594439,False
2054,1.5747277669874429,840.1435594206008,137.54909754426302,1363.3817048345145,1.111999863677777,594.6660453678387,264.756347541601,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.7472776698744288,False
2055,1.5663612753717309,838.3185945269903,137.46507576146163,1364.172023515966,1.1210788806205674,601.885507018411,268.3983036691213,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.6636127537173087,False
2056,1.5580885309344115,836.4706624804412,137.37313712642572,1364.8494041669703,1.129813421360331,608.8464704315843,272.0180758800983,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.5808853093441146,False
2057,1.5499132205991546,834.5909996678862,137.27302548222573,1365.4160610254173,1.1382122073151524,615.5367944577149,275.5843984565152,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.49913220599154595,False
2058,1.5418348105363195,832.6775203691029,137.16448677333017,1365.8738551983351,1.1462838130239505,621.9542930624465,279.0867987422003,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.41834810536319544,False
2059,1.5338496439219655,830.7255172863591,137.0473327301709,1366.2243894937928,1.1540365998897295,628.0956736250032,282.50896862634437,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.33849643921965544,False
2060,1.5259513862436196,828.7330442264857,136.9214031091077,1366.4690309394123,1.1614786645716977,633.9600952488759,285.8411928160786,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.2595138624361959,False
2061,1.5181317126168368,826.6994558325537,136.78659079315682,1366.6089700187906,1.168617799734048,639.5521792372344,289.0781917425724,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.1813171261683677,False
2062,1.5103960404283743,824.7073217640656,136.6458310633934,1366.6460368614778,1.1754615632295284,645.2063416863767,292.49247315193844,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.10396040428374276,False
2063,1.502838966707496,822.7728532360487,136.50207382614093,1366.5842671022656,1.1820184079917953,650.7770738926358,296.02404655602993,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.02838966707495949,False
2064,1.4954893502468358,820.8330540137547,136.35424950771701,1366.428233498294,1.1882978899081476,656.2516041058,299.5383981729132,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.045106497531641754,False
2065,1.4883475970527373,818.9716164778324,136.204236932705,1366.1818603693778,1.1943095535502688,661.7678976504723,303.27060904803363,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.11652402947262663,False
2066,1.4814226213335626,817.1748293729769,136.05382265473705,1365.8505667298195,1.2000629368671578,667.5173743532822,307.2862705080151,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.18577378666437383,False
2067,1.4747181667667726,815.434025402882,135.9031979074091,1365.4399144375557,1.20556747385033,673.4760483320434,311.55400674196295,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.25281833233227413,False
2068,1.4682341961829586,813.7376060666525,135.75207981563807,1364.9550458346207,1.2108324616387067,679.6058907801533,316.0310225091913,13.39951888220142,47.50738509341707,50.312000000000005,0,-0.31765803817041416,False
