rollout/ep_rew_mean,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,time/time_elapsed,train/learning_rate,train/n_updates,train/loss
98.853118,211,1,84.0,84,0.9991133333333339,0,,,
82.75659049999999,182,2,84.0,168,0.9982266666666666,0,0.0001,16,140.69105529785156
67.48204399999999,184,3,84.0,252,0.9973400000000006,1,0.0001,37,130.97557067871094
70.18433725,185,4,84.0,336,0.9964533333333333,1,0.0001,58,113.11155700683594
65.19755239999999,191,5,84.0,420,0.9955666666666672,2,0.0001,79,104.18234252929688
65.38403666666666,198,6,84.0,504,0.99468,2,0.0001,100,91.3599853515625
67.32187499999999,197,7,84.0,588,0.9937933333333339,2,0.0001,121,70.43241882324219
67.726708,194,8,84.0,672,0.9929066666666666,3,0.0001,142,55.727638244628906
72.46052877777778,193,9,84.0,756,0.9920200000000005,3,0.0001,163,57.85792922973633
75.1904291,195,10,84.0,840,0.9911333333333332,4,0.0001,184,25.95606803894043
70.95989218181819,197,11,84.0,924,0.9902466666666672,4,0.0001,205,23.25458335876465
71.64350741666668,199,12,84.0,1008,0.9893599999999999,5,0.0001,226,19.985504150390625
70.59919930769232,201,13,84.0,1092,0.9884733333333338,5,0.0001,247,7.824379920959473
71.37808242857143,203,14,84.0,1176,0.9875866666666666,5,0.0001,268,5.590688705444336
70.61145666666668,204,15,84.0,1260,0.9867000000000004,6,0.0001,289,10.249906539916992
69.2065320625,202,16,84.0,1344,0.9858133333333332,6,0.0001,310,2.8754522800445557
67.96474088235294,203,17,84.0,1428,0.9849266666666671,7,0.0001,331,3.464970588684082
68.65310661111113,205,18,84.0,1512,0.9840399999999998,7,0.0001,352,2.8005666732788086
69.18350910526317,205,19,84.0,1596,0.9831533333333338,7,0.0001,373,3.5302579402923584
70.89810325,204,20,84.0,1680,0.9822666666666665,8,0.0001,394,2.079056978225708
70.20115290476191,205,21,84.0,1764,0.9813800000000004,8,0.0001,415,1.5130270719528198
68.7077691818182,205,22,84.0,1848,0.9804933333333332,8,0.0001,436,2.2650930881500244
68.68781404347827,206,23,84.0,1932,0.9796066666666671,9,0.0001,457,1.3413722515106201
68.34508970833333,207,24,84.0,2016,0.9787199999999998,9,0.0001,478,2.478727340698242
68.29692048000001,207,25,84.0,2100,0.9778333333333337,10,0.0001,499,1.6681363582611084
68.69989773076924,207,26,84.0,2184,0.9769466666666664,10,0.0001,520,7.390130519866943
69.08433722222223,208,27,84.0,2268,0.9760600000000004,10,0.0001,541,7.4274163246154785
69.66980503571429,208,28,84.0,2352,0.9751733333333331,11,0.0001,562,2.070819139480591
70.4584951724138,209,29,84.0,2436,0.974286666666667,11,0.0001,583,2.0758397579193115
71.5924705,208,30,84.0,2520,0.9733999999999998,12,0.0001,604,1.4528496265411377
69.95615396774194,208,31,84.0,2604,0.9725133333333337,12,0.0001,625,2.1262106895446777
70.018283875,208,32,84.0,2688,0.9716266666666664,12,0.0001,646,1.8298697471618652
70.24239990909089,209,33,84.0,2772,0.9707400000000003,13,0.0001,667,1.6192750930786133
70.23153594117646,209,34,84.0,2856,0.969853333333333,13,0.0001,688,1.651267170906067
70.05064494285712,209,35,84.0,2940,0.968966666666667,14,0.0001,709,1.7249095439910889
69.86293541666664,209,36,84.0,3024,0.9680799999999997,14,0.0001,730,1.9548678398132324
70.40715794594594,210,37,84.0,3108,0.9671933333333336,14,0.0001,751,1.5246928930282593
70.22555465789473,210,38,84.0,3192,0.9663066666666664,15,0.0001,772,1.7324682474136353
70.69296197435897,210,39,84.0,3276,0.9654200000000003,15,0.0001,793,1.3041510581970215
70.8480969,210,40,84.0,3360,0.964533333333333,15,0.0001,814,6.663503170013428
71.1456983414634,211,41,84.0,3444,0.9636466666666669,16,0.0001,835,6.777745246887207
71.1931706190476,211,42,84.0,3528,0.9627599999999996,16,0.0001,856,0.9594541192054749
69.66648360465116,212,43,84.0,3612,0.9618733333333336,17,0.0001,877,1.240964651107788
68.69696511363635,212,44,84.0,3696,0.9609866666666663,17,0.0001,898,1.0454342365264893
68.07532173333333,212,45,84.0,3780,0.9601000000000002,17,0.0001,919,1.2249774932861328
68.52630863043477,211,46,84.0,3864,0.959213333333333,18,0.0001,940,6.728621482849121
67.88648174468084,211,47,84.0,3948,0.9583266666666669,18,0.0001,961,1.2115811109542847
67.92400304166667,211,48,84.0,4032,0.9574399999999996,19,0.0001,982,0.9876889586448669
68.5738077755102,211,49,84.0,4116,0.9565533333333335,19,0.0001,1003,6.7868452072143555
68.125271,210,50,84.0,4200,0.9556666666666662,19,0.0001,1024,1.8182835578918457
68.58395411764707,210,51,84.0,4284,0.9547800000000002,20,0.0001,1045,0.7082651853561401
68.40784988461539,210,52,84.0,4368,0.9538933333333329,20,0.0001,1066,1.0512113571166992
68.16629547169812,210,53,84.0,4452,0.9530066666666668,21,0.0001,1087,0.6520678400993347
68.15880642592593,209,54,84.0,4536,0.9521199999999996,21,0.0001,1108,1.148221731185913
68.59491130909092,209,55,84.0,4620,0.9512333333333335,22,0.0001,1129,11.307088851928711
